version__origin__name,version__version,station_id,StationName,StationLon,StationLat,drainage_area,lon_provided,lat_provided,start_date,end_date,quantity_discharges,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River
EFAS,11,00001,Schwabelweis,12.138730,49.023585,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,,Danube,DE,35525,35399,Danube,1,0,TRUE,1,1,1,1,1,1,324.49,FALSE,4477500,2882500,24,ID_1_202201181707.mod,Oscillations in lower flow  use 3,1,TRUE,1004,TRUE,Danube
EFAS,11,00002,Hofkirchen,13.115212,48.676627,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,C059,Danube,DE,47525,47496,Danube,3,0,TRUE,1,1,1,1,1,1,299.6,TRUE,4547500,2847500,24,ID_2_202201181707.mod,,2,TRUE,1004,TRUE,Danube
EFAS,11,00003,Pfelling,12.747379,48.879843,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,C362,Danube,DE,37725,37687,Danube,2,0,TRUE,1,1,1,1,1,1,310.25,FALSE,4517500,2867500,24,ID_3_202201181707.mod,Use 886 which has more data almost same location Same location as 886,3,TRUE,1004,TRUE,Danube
EFAS,11,00004,Barby,11.882244,51.984836,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,C348,Elbe,DE,93975,94060,Elbe,3,0,TRUE,1,1,1,1,1,1,46.11,TRUE,4452500,3207500,24,ID_4_202201181707.mod,,4,TRUE,1004,TRUE,Elbe
EFAS,11,00005,Wittenberg / Lutherstadt,12.646309,51.856531,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,C164,Elbe,DE,61675,61879,Elbe,3,0,TRUE,1,1,1,1,1,1,62.44,TRUE,4497500,3197500,24,ID_5_202201181707.mod,,5,TRUE,1004,TRUE,Elbe
EFAS,11,00006,Malliss OP,11.345254,53.190627,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,C558,Elbe,DE,2900,2879,Elbe,0,0,TRUE,1,1,1,1,1,1,19.75,FALSE,4407500,3342500,24,ID_6_202201181716.mod,unrealistic low discharge same for daily data  possibly wrong location,6,TRUE,1004,TRUE,Muritz-Elde
EFAS,11,00007,Schnackenburg,11.569159,53.038253,0,0.000000,0.000000,,,0,0,0,0,,,1,,,Elbe,DE,125175,125482,Elbe,,0,FALSE,0,0,1,0,1,1,13.7,FALSE,4422500,3327500,,,No discharge data available for calibration period,7,FALSE,1004,FALSE,Elbe
EFAS,11,00008,Grosse Traenke Wehr UP,13.996386,52.369055,0,0.000000,0.000000,,,0,0,0,0,,,1,HIST_24h,,Elbe,DE,6625,6170.92,Elbe,0,0,TRUE,0,1,1,1,1,1,34.8,FALSE,4592500,3257500,,,oscillations doscharge is too low compared to size of catchment possibly wrong data,8,FALSE,1004,FALSE,Muggelspree
EFAS,11,00009,Rathenow UP,12.321014,52.607446,0,0.000000,0.000000,,,0,0,0,0,,,1,HIST_24h,C351,Elbe,DE,18875,19288.46,Elbe,3,0,TRUE,0,1,1,0,1,1,24.52,TRUE,4472500,3287500,24,,,9,FALSE,1004,FALSE,Lower Havel
EFAS,11,00010,Plau OP,12.259913,53.456704,0,0.000000,0.000000,,,0,0,0,0,,,1,NRT_6h,,Elbe,DE,1250,1230,Elbe,0,0,TRUE,1,1,1,1,1,1,60.16,FALSE,4467500,3377500,24,ID_10_202201181730.mod,low quality data  very small flow a   lake,10,TRUE,1004,TRUE,Muritz-Elde
