station_id,version__origin__name,version__version,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River
870,EFAS,12,Ilok,19.37825,45.230444,1,NRT_6h,,Danube,HR,255550.0,253737.0,Danube,3.0,0,True,1,1,1,1,1,1,73.97,True,5052500.0,2502500.0,6.0,ID_870.mod,outliers removed after qc,870,True,1031,True,Danube
19,EFAS,12,Neu Darchau,10.8888,53.232262,1,NRT_6h,C172,Elbe,DE,131450.0,131950.0,Elbe,3.0,0,True,1,1,1,1,1,1,5.68,True,4377500.0,3352500.0,6.0,ID_19.mod,,19,True,1004,True,Elbe
26,EFAS,12,Hohensaaten-Finow,14.141123,52.864739,1,NRT_6h,C178,Oder,DE,109875.0,109564.0,Oder,3.0,0,True,1,1,1,1,1,1,0.16,True,4602500.0,3307500.0,6.0,ID_26.mod,,26,True,1004,True,Oder
153,EFAS,12,Lobith,6.108333,51.844444,1,NRT_6h,C368,Rhine,NL,159675.0,160800.0,Rhine,3.0,0,True,1,1,1,1,1,1,13.0,True,4052500.0,3202500.0,6.0,ID_153.mod,,153,True,1008,True,Rhine
132,EFAS,12,"Ounasjoki, Marraskoski",25.420245,66.798477,1,NRT_6h,C242,Kemijoki,FI,12900.0,12303.0,Kemijoki,3.0,0,True,1,1,1,1,0,0,93.0,True,4997500.0,4932500.0,6.0,ID_132.mod,,132,True,1011,True,Ounasjoki
136,EFAS,12,"Muonionjoki, Muonio",23.660143,67.945748,1,NRT_6h,C625,Torne,FI,9250.0,9259.0,Torne,3.0,0,True,1,1,1,1,0,0,233.0,True,4887500.0,5042500.0,6.0,ID_136.mod,,136,True,1011,True,Muonio
1077,EFAS,12,Polmak nye,28.016008,70.070345,1,NRT_6h,,Tana,NO,13850.0,14158.06,Tana,3.0,0,True,1,1,0,1,0,0,10.0,True,5002500.0,5307500.0,6.0,ID_1077.mod,,1077,True,1002,True,Tana
142,EFAS,12,Juutuanjoki,26.925191,68.889188,1,NRT_6h,C612,Paatsjoki,FI,5250.0,5160.0,Paatsjoki,3.0,0,True,1,1,1,1,0,0,140.0,True,4997500.0,5162500.0,6.0,ID_142.mod,,142,True,1011,True,Juutuanjoki
830,EFAS,12,Aarschot,4.822323,50.987652,1,NRT_6h,,Scheldt,BE,2100.0,2146.42,Scheldt,3.0,0,True,1,1,0,1,0,0,,True,3962500.0,3112500.0,6.0,ID_830.mod,,830,True,1022,True,Demer
1041,EFAS,12,Blaker,11.299323,60.004052,1,NRT_6h,,Glomma,NO,38650.0,38588.11,Glomma,3.0,0,True,1,1,0,1,0,0,90.0,True,4387500.0,4097500.0,6.0,ID_1041.mod,Negative discharge  and zeros,1041,True,1002,True,Glomma
323,EFAS,12,Strømstøa,10.138882,60.314604,1,NRT_6h,C645,Drammen,NO,4750.0,4631.48,Drammen,3.0,0,True,1,1,0,1,0,0,150.0,True,4327500.0,4137500.0,6.0,ID_323.mod,dam but not in lsf,323,True,1002,True,Adalselva
