station_id,version__origin__name,StationName,StationLon,StationLat,Alive,CAL_TYPE,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,HasHD,HasRTD,Height,RealTime
870,EFAS,Ilok,19.37825,45.230444,1,NRT_6h,Danube,HR,255550,253737,Danube,1,1,73.97,TRUE
19,EFAS,Neu Darchau,10.8888,53.232262,1,NRT_6h,Elbe,DE,131450,131950,Elbe,1,1,5.68,TRUE
26,EFAS,Hohensaaten-Finow,14.141123,52.864739,1,NRT_6h,Oder,DE,109875,109564,Oder,1,1,0.16,TRUE
153,EFAS,Lobith,6.108333,51.844444,1,NRT_6h,Rhine,NL,159675,160800,Rhine,1,1,13,TRUE
132,EFAS,"Ounasjoki, Marraskoski",25.420245,66.798477,1,NRT_6h,Kemijoki,FI,12900,12303,Kemijoki,1,1,93,TRUE
136,EFAS,"Muonionjoki, Muonio",23.660143,67.945748,1,NRT_6h,Torne,FI,9250,9259,Torne,1,1,233,TRUE
1077,EFAS,Polmak nye,28.016008,70.070345,1,NRT_6h,Tana,NO,13850,14158.06,Tana,1,1,10,TRUE
142,EFAS,Juutuanjoki,26.925191,68.889188,1,NRT_6h,Paatsjoki,FI,5250,5160,Paatsjoki,1,1,140,TRUE
830,EFAS,Aarschot,4.822323,50.987652,1,NRT_6h,Scheldt,BE,2100,2146.42,Scheldt,1,1,,TRUE
1041,EFAS,Blaker,11.299323,60.004052,1,NRT_6h,Glomma,NO,38650,38588.11,Glomma,1,1,90,TRUE
323,EFAS,Strømstøa,10.138882,60.314604,1,NRT_6h,Drammen,NO,4750,4631.48,Drammen,1,1,150,TRUE
393,EFAS,Pontelagoscuro,11.608072,44.888296,1,NRT_6h,Po,IT,71175,70091,Po,1,1,8,TRUE
366,EFAS,"Geneve, Bout Du Monde",6.159361,46.180286,1,NRT_6h,Rhone,CH,1925,1976,Rhone,1,1,380,TRUE
606,EFAS,Ebro En Tortosa,0.520716,40.813296,1,NRT_6h,Ebro,ES,85050,84230,Ebro,1,1,25,TRUE
953,EFAS,St. Pieter Noord,5.697333,50.830306,1,NRT_6h,Meuse,NL,21075,21100,Meuse,1,1,46,TRUE
968,EFAS,Corbones_Ca,-5.606802,37.563713,1,NRT_6h,Guadalquivir,ES,1750,1377,Guadalquivir,1,1,35,TRUE
1017,EFAS,Nybergsund,12.322496,61.259078,1,NRT_6h,Gota,NO,4375,4420.24,Gota,1,1,353,TRUE
1020,EFAS,Iijärvi - luusua,28.037857,69.509454,1,NRT_6h,Naatamo,FI,800,744,Naatamo,1,1,193,TRUE
1026,EFAS,Viksvatn (Hestadfjorden),5.886256,61.333056,1,NRT_6h,Gaula (Sande),NO,500,508.13,Gaula_Sande,1,1,143,TRUE
1037,EFAS,Bertnem,12.058677,64.468065,1,NRT_6h,Namsen,NO,5175,5161.54,Namsen,1,1,7,TRUE
1036,EFAS,Syrstad,9.727708,63.032252,1,NRT_6h,Orkla,NO,2275,2278.13,Orkla,1,1,140,TRUE
1040,EFAS,Svartfossberget,21.381661,69.52854,1,NRT_6h,Reisaelva,NO,1950,1932.29,Reisaelva,1,1,90,TRUE
1048,EFAS,Stuvane,7.619074,61.044155,1,NRT_6h,Laerdalselva,NO,975,994.19,Laerdalselva,1,1,73,TRUE
1056,EFAS,Bulken (Vangsvatnet),6.292537,60.628683,1,NRT_6h,Vosso,NO,1075,1092.04,Vosso,1,1,47,TRUE
1060,EFAS,Driva v/Elverhøy bru,8.694089,62.64874,1,NRT_6h,Driva,NO,2425,2437.41,Driva,1,1,34,TRUE
1099,EFAS,Gaulfoss,10.229018,63.108479,1,NRT_6h,Gaula (Melhus),NO,3200,3086.41,Gaula,1,1,54,TRUE
1068,EFAS,Selfors bru,14.698448,66.996977,1,NRT_6h,Beiarelva,NO,775,788.34,Beiarelva,1,1,10,TRUE
1075,EFAS,Rauma v/Horgheim,7.78144,62.473214,1,NRT_6h,Rauma,NO,1125,1099.42,Rauma,1,1,61,TRUE
1076,EFAS,Rathe,10.390233,63.384904,1,NRT_6h,Nea,NO,3050,3057.88,Nea,1,1,14,TRUE
1082,EFAS,Øvrevatn,17.941075,68.857619,1,NRT_6h,Salangs,NO,525,526.02,Salangs,1,1,8,TRUE
1083,EFAS,Omnesfoss,8.993231,59.611714,1,NRT_6h,Skien,NO,875,807.71,Skien,1,1,61,TRUE
1086,EFAS,Flaksvatn,8.203061,58.330464,1,NRT_6h,Tovdal,NO,1825,1780.66,Tovdal,1,1,19,TRUE
1088,EFAS,Fustvatn,13.307593,65.905237,1,NRT_6h,Fusta,NO,550,525.69,Fusta,1,1,39,TRUE
1114,EFAS,Laksfors,13.291557,65.621554,1,NRT_6h,Vefsna,NO,3575,3653.4,Vefsna,1,1,40,TRUE
1101,EFAS,Masi,23.635036,69.420041,1,NRT_6h,Altaelva,NO,5675,5620.81,Altaelva,1,1,0,TRUE
1103,EFAS,Gjedlakleiv,6.066195,58.573402,1,NRT_6h,Bjerkreim,NO,600,635.15,Bjerkreim,1,1,49,TRUE
1107,EFAS,Malangsfoss,18.658337,69.034928,1,NRT_6h,Malselv,NO,2975,3110.65,Malselv,1,1,23,TRUE
1110,EFAS,Grunnfoss,11.809693,63.79118,1,NRT_6h,Verdal,NO,900,880.37,Verdal,1,1,38,TRUE
