"ID","Timestamp","Variable","Value","Ver.Nº","Date of the last version","Outlier flag","AI","AO"
146551053,"2018-01-01 00:00:00","W","0.503",1,"2021-05-24 15:51:54",,"60.00","60.00"
146095585,"2018-01-01 00:00:00","D","3.471",2,"2021-05-24 20:31:51",,"60.00","60.00"
147540821,"2018-01-01 01:00:00","W","0.504",1,"2021-05-24 23:46:04",,"60.00","60.00"
147076594,"2018-01-01 01:00:00","D","3.476",1,"2021-05-24 20:31:51",,"60.00","60.00"
147540822,"2018-01-01 02:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076595,"2018-01-01 02:00:00","D","3.470",1,"2021-05-24 20:31:51",,"60.00","60.00"
147540823,"2018-01-01 03:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076596,"2018-01-01 03:00:00","D","3.472",1,"2021-05-24 20:31:51",,"60.00","60.00"
147540824,"2018-01-01 04:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076597,"2018-01-01 04:00:00","D","3.468",1,"2021-05-24 20:31:51",,"60.00","60.00"
147540825,"2018-01-01 05:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076598,"2018-01-01 05:00:00","D","3.467",1,"2021-05-24 20:31:51",,"60.00","60.00"
147540826,"2018-01-01 06:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076599,"2018-01-01 06:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540827,"2018-01-01 07:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076600,"2018-01-01 07:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540828,"2018-01-01 08:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076601,"2018-01-01 08:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540829,"2018-01-01 09:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076602,"2018-01-01 09:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540830,"2018-01-01 10:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076603,"2018-01-01 10:00:00","D","3.470",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540831,"2018-01-01 11:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076604,"2018-01-01 11:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540832,"2018-01-01 12:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076605,"2018-01-01 12:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540833,"2018-01-01 13:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076606,"2018-01-01 13:00:00","D","3.467",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540834,"2018-01-01 14:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
147076607,"2018-01-01 14:00:00","D","3.469",1,"2021-05-24 20:31:52",,"60.00","60.00"
147540835,"2018-01-01 15:00:00","W","0.503",1,"2021-05-24 23:46:05",,"60.00","60.00"
