"UTC0 datetime","Variable","Value","Max Value","Min Value","%Coverage","Updated at"
"2020-01-01 00:00:00","D","6.851","6.963","6.748","6.000","2021-06-19 02:35:40"
"2020-01-01 06:00:00","D","6.544","6.925","6.298","6.000","2021-06-19 02:35:40"
"2020-01-01 12:00:00","D","6.109","6.228","5.998","6.000","2021-06-19 02:35:40"
"2020-01-01 18:00:00","D","6.123","6.360","5.953","6.000","2021-06-19 02:35:40"
"2020-01-02 00:00:00","D","6.406","6.518","6.338","6.000","2021-06-19 02:35:40"
"2020-01-02 06:00:00","D","6.215","6.488","6.040","6.000","2021-06-19 02:35:40"
"2020-01-02 12:00:00","D","5.933","6.008","5.860","6.000","2021-06-19 02:35:40"
"2020-01-02 18:00:00","D","5.996","6.173","5.908","6.000","2021-06-19 02:35:40"
"2020-01-03 00:00:00","D","6.117","6.173","6.008","6.000","2021-06-19 02:35:40"
"2020-01-03 06:00:00","D","6.222","6.268","6.130","6.000","2021-06-19 02:35:40"
"2020-01-03 12:00:00","D","6.118","6.168","5.995","6.000","2021-06-19 02:35:40"
"2020-01-03 18:00:00","D","6.908","7.633","6.238","6.000","2021-06-19 02:35:40"
"2020-01-04 00:00:00","D","7.590","7.660","7.538","6.000","2021-06-19 02:35:40"
"2020-01-04 06:00:00","D","7.283","7.458","7.163","6.000","2021-06-19 02:35:40"
"2020-01-04 12:00:00","D","6.926","7.068","6.733","6.000","2021-06-19 02:35:40"
"2020-01-04 18:00:00","D","7.054","7.265","6.815","6.000","2021-06-19 02:35:40"
"2020-01-05 00:00:00","D","7.193","7.258","7.108","6.000","2021-06-19 02:35:40"
"2020-01-05 06:00:00","D","6.912","7.068","6.750","6.000","2021-06-19 02:35:40"
"2020-01-05 12:00:00","D","6.537","6.758","6.415","6.000","2021-06-19 02:35:40"
"2020-01-05 18:00:00","D","6.497","6.763","6.260","6.000","2021-06-19 02:35:40"
"2020-01-06 00:00:00","D","6.578","6.633","6.498","6.000","2021-06-19 02:35:40"
"2020-01-06 06:00:00","D","6.442","6.565","6.273","6.000","2021-06-19 02:35:40"
"2020-01-06 12:00:00","D","6.008","6.098","5.935","6.000","2021-06-19 02:35:40"
"2020-01-06 18:00:00","D","6.220","6.415","6.040","6.000","2021-06-19 02:35:40"
"2020-01-07 00:00:00","D","6.171","6.308","6.100","6.000","2021-06-19 02:35:40"
