version__origin__name,version__version,station_id,StationName,StationLon,StationLat,Alive,CAL_TYPE,Calibration ID,Catchment,Country code,DrainingArea.km2.LDD,DrainingArea.km2.Provider,EC_Catchments,EC_calib,Exclude,FixedRepPoint,HasD,HasHD,HasHWL,HasRTD,HasRTWL,HasWL,Height,LSFCalib,LisfloodX,LisfloodY,MdlStep,ModelFile,Notes,ObsID,PostProcess,Provider ID,RealTime,River
EFAS,12,1,Schwabelweis,12.13873,49.023585,1,NRT_6h,,Danube,DE,35525,35399,Danube,1,0,TRUE,1,1,1,1,1,1,324.49,FALSE,4477500,2882500,6,ID_1.mod,Oscillations in lower flow  use 3,1,TRUE,1004,TRUE,Danube
EFAS,12,2,Hofkirchen,13.115212,48.676627,1,NRT_6h,C059,Danube,DE,47525,47496,Danube,3,0,TRUE,1,1,1,1,1,1,299.6,TRUE,4547500,2847500,6,ID_2.mod,,2,TRUE,1004,TRUE,Danube
EFAS,12,3,Pfelling,12.747379,48.879843,1,NRT_6h,C362,Danube,DE,37725,37687,Danube,2,0,TRUE,1,1,1,1,1,1,310.25,FALSE,4517500,2867500,6,ID_3.mod,Use 886 which has more data almost same location Same location as 886,3,TRUE,1004,TRUE,Danube
EFAS,12,4,Barby,11.882244,51.984836,1,NRT_6h,C348,Elbe,DE,93975,94060,Elbe,3,0,TRUE,1,1,1,1,1,1,46.11,TRUE,4452500,3207500,6,ID_4.mod,,4,TRUE,1004,TRUE,Elbe
EFAS,12,5,Wittenberg / Lutherstadt,12.646309,51.856531,1,NRT_6h,C164,Elbe,DE,61675,61879,Elbe,3,0,TRUE,1,1,1,1,1,1,62.44,TRUE,4497500,3197500,6,ID_5.mod,,5,TRUE,1004,TRUE,Elbe
EFAS,12,6,Malliss OP,11.345254,53.190627,1,NRT_6h,C558,Elbe,DE,2900,2879,Elbe,0,0,TRUE,1,1,1,1,1,1,19.75,FALSE,4407500,3342500,6,ID_6.mod,unrealistic low discharge same for daily data  possibly wrong location,6,TRUE,1004,TRUE,Muritz-Elde
EFAS,12,7,Schnackenburg,11.569159,53.038253,1,,,Elbe,DE,125175,125482,Elbe,,0,FALSE,0,0,1,0,1,1,13.7,FALSE,4422500,3327500,,,No discharge data available for calibration period,7,FALSE,1004,FALSE,Elbe
EFAS,12,8,Grosse Traenke Wehr UP,13.996386,52.369055,1,HIST_24h,,Elbe,DE,6625,6170.92,Elbe,0,0,TRUE,0,1,1,1,1,1,34.8,FALSE,4592500,3257500,6,ID_8.mod,oscillations doscharge is too low compared to size of catchment possibly wrong data,8,FALSE,1004,FALSE,Muggelspree
EFAS,12,9,Rathenow UP,12.321014,52.607446,1,HIST_24h,C351,Elbe,DE,18875,19288.46,Elbe,3,0,TRUE,0,1,1,0,1,1,24.52,TRUE,4472500,3287500,24,ID_9.mod,,9,FALSE,1004,FALSE,Lower Havel
EFAS,12,10,Plau OP,12.259913,53.456704,1,NRT_6h,,Elbe,DE,1250,1230,Elbe,0,0,TRUE,1,1,1,1,1,1,60.16,FALSE,4467500,3377500,6,ID_10.mod,low quality data  very small flow a   lake,10,TRUE,1004,TRUE,Muritz-Elde
EFAS,12,11,Calbe Grizehne,11.812211,51.916414,1,NRT_6h,C169,Elbe,DE,23725,23719,Elbe,3,0,TRUE,1,1,1,1,1,1,49.36,TRUE,4442500,3202500,6,ID_11.mod,,11,TRUE,1004,TRUE,Saale
EFAS,12,12,Tangermuende,11.978054,52.541308,1,NRT_6h,C170,Elbe,DE,97875,97780,Elbe,3,0,TRUE,1,1,1,1,1,1,27.56,TRUE,4457500,3272500,6,ID_12.mod,,12,TRUE,1004,TRUE,Elbe
EFAS,12,13,Bernburg UP,11.73542,51.796794,1,NRT_6h,,Elbe,DE,19700,19660,Elbe,2,0,TRUE,1,1,1,1,1,1,55.11,FALSE,4442500,3187500,6,ID_13.mod,Few outliers removed with qc close to 11,13,TRUE,1004,TRUE,Saale
EFAS,12,14,Wittenberge,11.759441,52.985531,1,NRT_6h,C171,Elbe,DE,123300,123532,Elbe,3,0,TRUE,1,1,1,1,1,1,16.72,TRUE,4432500,3327500,6,ID_14.mod,,14,TRUE,1004,TRUE,Elbe
EFAS,12,15,Aken,12.058857,51.857869,1,NRT_6h,C349,Elbe,DE,69875,70093,Elbe,3,0,TRUE,1,1,1,1,1,1,50.2,TRUE,4457500,3202500,6,ID_15.mod,,15,TRUE,1004,TRUE,Elbe
EFAS,12,16,Magdeburg-Strombruecke,11.644332,52.1297,1,NRT_6h,,Elbe,DE,94975,94942,Elbe,2,0,TRUE,1,1,1,1,1,1,39.88,FALSE,4437500,3222500,6,ID_16.mod,Close to 4,16,TRUE,1004,TRUE,Elbe
