station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5,f1_current,f1_model_mean,f1_weighted_mean
4555, Río Ebro en Arroyo,3177500.000,2307500.000,500.000,Ebro,Ebro,Ebro,ES,1.000,25111.000,27.162,31.369,41.723,48.578,55.154,63.665,70.043,76.398,84.782,0,0.000,0.000,0.000
620,Nela En Trespaderne,3227500.000,2292500.000,1075.000,Nela,Nela,Ebro,ES,2.000,22111.000,164.328,211.042,326.005,402.121,475.133,569.639,640.459,711.019,804.111,2,0.557,0.581,0.603
4627, Río Zadorra en Vitoria-Abetxuko,3292500.000,2282500.000,675.000,Zadorra,Zadorra,Ebro,ES,2.000,20111.000,62.203,74.985,106.443,127.270,147.248,173.108,192.486,211.793,237.266,4,0.552,0.500,0.526
4564, Río Tirón en Ochánduri,3252500.000,2247500.000,725.000,Tiron,Tiron,Ebro,ES,2.000,18111.000,13.007,24.221,51.817,70.089,87.615,110.301,127.301,144.238,166.585,0,,,
4563, Río Najerilla en Anguiano,3267500.000,2217500.000,625.000,Najerilla,Najerilla,Ebro,ES,2.000,16111.000,18.744,29.784,56.955,74.944,92.199,114.534,131.272,147.948,169.949,2,0.130,0.045,0.085
596,Ega En Andosilla,3337500.000,2222500.000,1425.000,Ega,Ega,Ebro,ES,2.000,12111.000,79.734,97.398,140.869,169.650,197.258,232.994,259.773,286.454,321.655,1,0.562,0.414,0.703
649,Aragon En Martes,3427500.000,2227500.000,1100.000,Aragon,Aragon,Ebro,ES,2.000,10711.000,176.530,239.909,395.883,499.151,598.208,726.428,822.511,918.243,1044.543,0,,,
2809,Esca En Sigues,3417500.000,2237500.000,500.000,Aragon,Esca,Ebro,ES,3.000,10611.000,78.585,101.293,157.176,194.175,229.666,275.605,310.030,344.330,389.581,0,,,0.000
626,Aragon A.A. Yesa,3402500.000,2237500.000,2225.000,Aragon,Aragon,Ebro,ES,2.000,10511.000,166.752,246.990,444.453,575.191,700.597,862.924,984.564,1105.761,1265.657,0,,,
2854,ITOIZ ,3392500.000,2257500.000,525.000,Aragon,Irati,Ebro,ES,3.000,10411.000,75.495,102.277,168.186,211.824,253.683,307.864,348.466,388.919,442.289,3,0.375,0.267,0.323
4625, Río Arga en Burlada,3372500.000,2262500.000,525.000,Aragon,Arga,Ebro,ES,3.000,10231.000,150.561,181.944,259.177,310.313,359.363,422.853,470.431,517.834,580.374,2,0.412,0.364,0.457
597,Arga En Funes,3352500.000,2217500.000,2775.000,Aragon,Arga,Ebro,ES,3.000,10211.000,474.849,559.588,768.128,906.199,1038.641,1210.073,1338.537,1466.532,1635.398,2,0.514,0.556,0.595
639,Alhama En Cintruenigo,3337500.000,2182500.000,1100.000,Alhama,Alhama,Ebro,ES,2.000,9811.000,19.437,31.433,60.956,80.503,99.253,123.522,141.709,159.829,183.736,0,0.000,0.000,0.000
4595, Río Queiles en Tudela,3357500.000,2177500.000,500.000,Huecha,Queiles,Ebro,ES,2.000,9611.000,2.670,4.484,8.949,11.905,14.740,18.410,21.160,23.900,27.515,0,,,
4622, Río Huecha en Cortes,3372500.000,2162500.000,550.000,Huecha,Huecha,Ebro,ES,2.000,9411.000,1.620,3.254,7.274,9.936,12.490,15.795,18.272,20.740,23.996,0,0.000,0.000,0.000
643,Arba En Tauste,3392500.000,2167500.000,2175.000,Arba,Arba,Ebro,ES,2.000,9211.000,37.492,62.101,122.662,162.758,201.220,251.004,288.311,325.481,374.520,0,,,
