station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
4309,Cuenca,3287500.0,1972500.0,1000.0,Jucar,Jucar,Jucar,ES,1.0,93.0,56.49846001473984,85.4169449491484,156.58452417888785,203.70365412437218,248.90145483000657,307.4053717144325,351.24582467324524,394.92631118340427,452.5544188745453,2
4306,Alarcon,3277500.0,1912500.0,2975.0,Jucar,Jucar,Jucar,ES,1.0,93.0,14.15670888424137,82.38095805616923,250.2789191473305,361.44197867332286,468.0722542343825,606.0942084311495,709.5222404755742,812.5728810046118,948.5286334357862,0
4311,El Picazo,3277500.0,1902500.0,3300.0,Jucar,Tagus-Segura Water Transfer,Jucar,ES,2.0,92.0,22.811915181285926,89.68793968861253,254.26795774592787,363.23425027976475,467.7573342007616,603.0517449629997,704.4358670266482,805.4500554590994,938.7190960400605,0
4300,E.A. 138 Balazote,3267500.0,1842500.0,725.0,Arquillo,Arquillo,Jucar,ES,2.0,81.0,1.447654966071515,3.3546514179677973,8.047716126889634,11.154933321230395,14.13545065381737,17.993424616619546,20.88443320270582,23.764892984084764,27.565112710179154,0
4307,Alcala Jucar,3332500.0,1862500.0,10650.0,Jucar,Jucar,Jucar,ES,1.0,71.0,36.244610429686425,109.55746927250733,289.97835584693286,409.43268169854684,524.0161389804141,672.3326711233786,783.4750406722936,894.2118703840998,1040.3080899516938,0
4293,E.A 139 Villora,3322500.0,1927500.0,1300.0,Cabriel,Cabriel,Jucar,ES,2.0,63.0,31.355283679698296,58.039541877556644,123.70875185830933,167.1874829320698,208.89332563925308,262.87726107954154,303.33062400354726,343.6363794014827,396.8121702000765,1
4294,E.A 140 Huercemes,3317500.0,1927500.0,825.0,Cabriel,Guadazaon,Jucar,ES,3.0,62.0,31.111351683165807,54.9230075439653,113.52282385205972,152.32100118628017,189.53714437319422,237.70962431190713,273.8081191329384,309.77489661008883,357.2262299480194,0
4292,Contreras,3332500.0,1902500.0,3400.0,Cabriel,Cabriel,Jucar,ES,2.0,61.0,6.761057362092514,8.219889255304702,11.810033572288521,14.187021498896435,16.46708538612913,19.418394212383898,21.62998486570637,23.833505796231492,26.740633249000396,5
3005,Tous,3402500.0,1842500.0,17675.0,Jucar,Jucar,Jucar,ES,1.0,51.0,22.67368164779031,35.9629064969549,68.66731561450973,90.32048015486544,111.09071544302991,137.97565453293709,158.12213309778315,178.1951005464935,204.67756954431508,1
4289,Moixent,3382500.0,1817500.0,1075.0,Albaida,Canyoles,Jucar,ES,3.0,42.0,14.0358934958126,32.93535522383166,79.44639973321556,110.24075825794756,139.7794462827267,178.01424802300772,206.66585147710984,235.2129100430218,272.87533316917154,0
4288,Manuel,3412500.0,1832500.0,2025.0,Albaida,Albaida,Jucar,ES,2.0,41.0,79.34370202791868,144.85064018921207,306.0613752005909,412.7969091870265,515.1801959520808,647.7048587839691,747.0134445362943,845.9596699407795,976.5004259810178,1
4323,Requena,3362500.0,1892500.0,650.0,Magro,Magro,Jucar,ES,2.0,21.0,13.013997997856835,26.436656581595518,59.469442372366814,81.34002084338896,102.31880479364162,129.47368873490626,149.8224529788597,170.0969680002138,196.84534074932483,2
4322,Guadassuar,3412500.0,1852500.0,1475.0,Magro,Magro,Jucar,ES,2.0,21.0,67.59020574404194,106.87118032071284,203.54055552301998,267.5440933868295,328.9378235378511,408.40570980454925,467.95570773877114,527.2884177335684,605.5666621938764,1
4314,Huerto Mulet,3417500.0,1852500.0,21650.0,Magro,Magro,Jucar,ES,2.0,21.0,221.89637458506147,337.3940570375325,621.6306097280003,809.8199398476065,990.3356634510292,1223.9947513966536,1399.0893570059775,1573.545071811321,1803.7062610141722,2
