station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
2910,VILLAFRANCA PELLICE,4122500.0,2412500.0,1000.0,Po,Pellice,Po,IT,,9611.0,192.03475398312995,256.680992162338,415.7735686911051,521.1066974550008,622.1447634608808,752.9281760049839,850.9319396975833,948.5781041188584,1077.4036765535282,0
2787,Carignano,4137500.0,2417500.0,3825.0,Po,Po,Po,IT,,9511.0,269.8116574202978,334.7076348639425,494.4148127084038,600.1548610215141,701.5832540285485,832.8719048381597,931.2542735129819,1029.2776614504967,1158.6009086858448,0
2788,Palestro,4202500.0,2457500.0,3025.0,Sesia,Sesia,Po,IT,,9221.0,742.1860336127705,958.7518732669569,1491.7143222680756,1844.5818380996839,2183.060831122299,2621.187168372392,2949.501204442391,3276.617277744017,3708.1848221060736,0
2824,Fossano,4142500.0,2387500.0,1400.0,Tanaro,Stura Demonte,Po,IT,,8411.0,244.3728412204667,317.59515190416846,497.79320200210384,617.0999907166397,731.5419268344691,879.6752743470093,990.6803727933968,1101.2804322818702,1247.1962095103586,0
2823,Asti,4187500.0,2417500.0,4475.0,Tanaro,Tanaro,Po,IT,,8311.0,609.4534231228786,804.7073007421444,1285.2216097351838,1603.3638932181984,1908.5336096696108,2303.544505071245,2599.5495847359857,2894.47459158711,3283.572136360891,0
2826,Cassine,4207500.0,2402500.0,1625.0,Tanaro,Bormida,Po,IT,,8211.0,367.2882861648466,545.4467342082021,983.8896711508191,1274.1770455855813,1552.62766452197,1913.053428880913,2183.141819693063,2452.2447033358094,2807.2748597639898,1
2825,Alessandria,4212500.0,2417500.0,2700.0,Tanaro,Bormida,Po,IT,,8211.0,533.9806808456465,751.4595466402399,1286.6689273299871,1641.0241074514447,1980.9301037775442,2420.903550430251,2750.6017350699094,3079.0969064155697,3512.4839087770183,1
2829,HONE PONTE SR DORA,4142500.0,2507500.0,2825.0,Tanaro,Baltea,Po,IT,,8111.0,371.4556578678487,457.5472818616958,669.4163505731394,809.6921093960774,944.2479850764261,1118.416764181046,1248.9317548664403,1378.9705182743558,1550.5319742107786,0
2827,Isola S.Antonio,4227500.0,2437500.0,25575.0,Po,Po,Po,IT,,7111.0,3191.954729392355,4085.894602778534,6285.855524318261,7742.421079293615,9139.59372965103,10948.090411648069,12303.304180837022,13653.573002627112,15434.9963174982,0
334,Bellinzona,4242500.0,2562500.0,1525.0,Ticcino,Ticino,Po,CH,,6311.0,443.6951433873749,500.62060084613006,640.7125528648457,733.4656149041964,822.4365788787483,937.6003656168396,1023.8994177815684,1109.8835792012144,1223.32335311196,1
