station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
1453,Ponte Cavez,2842500.0,2222500.0,1925.0,Tamega,Tamega,Douro,PT,2.0,2111,302.82480382555275,349.3812024896323,463.95519203619006,539.8131425277933,612.5779098786373,706.7644374252684,777.3439857727604,847.6660012040818,940.4425474861785,2
1467,Quinta Das Laranjeiras,2897500.0,2172500.0,3450.0,Sabor,Sabor,Douro,PT,2.0,6111,472.30276257203263,597.1536880111667,904.4083090000995,1107.837603201499,1302.9718662415971,1555.5531540027619,1744.8272856176568,1933.4107877200122,2182.2109096096683,0
1172,Ciudad Rodrigo,2922500.0,2097500.0,1100.0,Agueda,Agueda,Douro,ES,2.0,10111,100.00418760239674,130.09767235075685,204.15689312202215,253.1905413780293,300.2247940119232,361.10580954486255,406.7275634323717,452.1828512033562,512.1524721504322,4
3018,Almendra,2957500.0,2167500.0,7100.0,Tormes,Tormes,Douro,ES,2.0,12111,75.40542943581269,113.43638933178968,207.02951351235768,268.9963055263423,328.43634015889995,405.3753679757346,463.0303423659817,520.4749434393954,596.2621867010607,6
3020,Ricobayo,2997500.0,2192500.0,16250.0,Esla,Esla,Douro,ES,1.0,14111,353.1339169964513,471.7382508924974,763.6201855333433,956.8714237507338,1142.242651130618,1382.1866906653743,1561.9909830643207,1741.1391998033105,1977.4912542729712,0
5073,Morales del Rey,3022500.0,2247500.0,4325.0,Esla,Orbigo,Douro,ES,3.0,14611,213.06868204146755,268.864900387383,406.1778266647909,497.09093185238737,584.2969650400428,697.1762299108902,781.763354416961,866.0418347144106,977.2312862672811,1
1186,Benamariel 2,3047500.0,2272500.0,4125.0,Esla,Esla,Douro,ES,1.0,14911,362.63024924306393,449.6717250247944,663.878352309034,805.7017783048456,941.7422134946573,1117.832602606748,1249.7875695813216,1381.2610550468205,1554.715354306361,1
1180,Villamarciel,3077500.0,2167500.0,36775.0,Douro,Douro,Douro,ES,1.0,15111,529.2676847476654,692.0852727594854,1092.7747840221978,1358.0661056229012,1612.5399105619092,1941.9301486041647,2188.761779800944,2434.6927638375523,2759.1519987261972,0
1178,Palencia,3127500.0,2227500.0,2275.0,Pisuerga,Carrion,Douro,ES,3.0,18411,75.03727194863767,101.20224858266089,165.59352121916464,208.22614657403494,249.1203843618884,302.0537804838435,341.7199120219959,381.2413085091682,433.38228666281907,0
1173,Covarrubias,3207500.0,2207500.0,1200.0,Pisuerga,Arlanza,Douro,ES,4.0,18621,132.9195651311337,164.87596306134725,243.5197608520654,295.5887980121595,345.5346685581359,410.1844748213385,458.63040701212464,506.8995681341548,570.5815606562492,3
1175,Villavieja De Muño,3182500.0,2237500.0,1575.0,Pisuerga,Arlanzon,Douro,ES,3.0,18631,47.231278054499136,58.65301656819287,86.76159426368237,105.37191850614377,123.22338832638857,146.33028490815624,163.64565226412907,180.8978387532055,203.658822898126,0
1188,Cordovilla,3147500.0,2222500.0,4200.0,Pisuerga,Pisuerga,Douro,ES,2.0,18711,159.35694310827353,220.13747693334008,369.7166636173035,468.751100516575,563.747310063457,686.710159160083,778.8535110684962,870.6606473637706,991.782730928679,1
1182,Quintanilla De Onésimo,3122500.0,2172500.0,12225.0,Douro,Douro,Douro,ES,1.0,19111,123.27237766081907,173.80190260964187,298.1536443552019,380.48531759283617,459.45983522636106,561.6842475536494,638.2870594428098,714.6103605389065,815.3044637029426,0
1183,Las Vencías,3157500.0,2147500.0,1125.0,Duraton,Duraton,Douro,ES,2.0,19211,5.360553458224529,11.692502750959623,27.275252123601803,37.592388108053214,47.48883264380069,60.2987649752764,69.89800662764402,79.46222225967512,92.08038868728107,0
5078,Osma,3232500.0,2147500.0,1025.0,Ucero,Ucero,Douro,ES,2.0,19411,8.291630640914658,11.241614123049533,18.501440620441734,23.30807746006248,27.91871891700133,33.88672135007132,38.35889934871631,42.81475912106782,48.693419990789934,1
1179,Garray,3287500.0,2157500.0,1525.0,Douro,Douro,Douro,ES,1.0,19511,32.04864138628073,43.80122729380504,72.72401113345441,91.87341068976392,110.24197449346774,134.01819619631266,151.83512854224512,169.58704989488427,193.00733930023762,0
