station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter
21,Eisenhuettenstadt,4642500.0,3237500.0,51150.0,"Oder, below Neisse",Oder,Oder,DE,1.0,3111
2025,GREBENAU,4287500.0,3117500.0,3025.0,Fulda,Fulda,Weser,DE,2.0,631
315,Nye Stai,4377500.0,4267500.0,8925.0,"Glomma, headwaters",Glomma,Glomma,NO,1.0,315
2912,S GIOVANNI ALLA VENA,4372500.0,2282500.0,8050.0,Arno,Canale Imperiale,Arno,IT,1.0,1
62,Bonn,4117500.0,3072500.0,140775.0,Rhine,Rhine,Rhine,DE,,3511
793,Vranceni,5612500.0,2712500.0,4175.0,Siret,Trotus,Danube,RO,,41611
1933,L'Aisne à Givry,3927500.0,2947500.0,2975.0,Oise,Aisne,Seine,FR,2.0,441
2131,TOREBRO KRV (POWERSTATION),4577500.0,3667500.0,3775.0,Helge,Helge,Helge,SE,1.0,1
884,Schwabelweis,4482500.0,2882500.0,35625.0,Danube,Danube,Danube,DE,,211311
1843,BRZEG,4852500.0,3112500.0,19875.0,"Oder, below Easter Neisse",Oder,Oder,PL,1.0,7571
638,Matarraña En Nonaspe,3497500.0,2067500.0,1150.0,Matarranya,Matarranya,Ebro,ES,2.0,1211
492,ŻABNO,5097500.0,3052500.0,6900.0,Dunajec,Dunajec,Vistula,PL,2.0,6111
1851,BRZEG DOLNY,4792500.0,3147500.0,26575.0,"Oder, below Easter Neisse",Oder,Oder,PL,1.0,7511
2039,PONTE DE CANAVEZES,2807500.0,2192500.0,3250.0,Tamega,Tamega,Douro,PT,2.0,2111
2184,TRENTO,4407500.0,2552500.0,9575.0,Adige,Adige,Adige,IT,1.0,1
533,CIGACICE,4707500.0,3227500.0,39025.0,"Oder, below Barycz",Oder,Oder,PL,1.0,7111
631,Ebro En Mendavia,3312500.0,2232500.0,12025.0,Ebro,Ebro,Ebro,ES,1.0,13111
3355,"Nilakka, Äyskoski",5162500.0,4532500.0,2350.0,Kymijoki,Koskilampi,Kymijoki,fi,2.0,41
529,DOBROSZÓW WIELKI,4687500.0,3192500.0,5375.0,Bobr,Bobr,Oder,PL,2.0,6111
815,Bekes duzzaszto f.,5172500.0,2692500.0,9475.0,Tisa,Koros,Danube,HU,,124511
2322,PARK,3577500.0,3837500.0,1800.0,Dee,Dee,Dee,UK,1.0,1
551,NOWE DREZDENKO,4717500.0,3322500.0,16850.0,Warta,Notec,Oder,PL,3.0,2211
696,Sarvar,4847500.0,2707500.0,5575.0,Raab,Raba,Danube,HU,,172111
155,Fischerau / Ager,4602500.0,2777500.0,1225.0,Traun,Ager,Danube,AT,,191812
3184,La Gartempe à Montmorillon,3622500.0,2632500.0,1825.0,Vienne,Gartempe,Loire,FR,,4223
2822,Farigliano,4152500.0,2372500.0,1450.0,Tanaro,Tanaro,Po,IT,,8511
1174,Peral De Arlanza,3162500.0,2217500.0,2450.0,Pisuerga,Arlanza,Douro,ES,4.0,18621
1019,Polmak nye,4997500.0,5302500.0,13825.0,Tana,Tana,Tana,NO,1.0,1
2632,KARTENA,5037500.0,3707500.0,1200.0,Minija,Minija,Nemunas,LT,2.0,121
1489,Bredon,3492500.0,3282500.0,2675.0,Avon,Avon,Severn,UK,2.0,2
1820,ŻUKÓW,5017500.0,3287500.0,7225.0,"Vistula, below Narew",Bzura,Vistula,PL,2.0,1611
3280,Upptyppingar,3097500.0,4887500.0,1975.0,Bakkahlaup,Jokulsa A Fjollum,Jkuls Fjllum,IS,1.0,3
