id,name,X,Y,area,subcatchment,river,catchment,country
1,Schwabelweis,4477500.0,2882500.0,35525.0,Danube,Danube,Danube,DE
2,Hofkirchen,4547500.0,2847500.0,47525.0,Danube,Danube,Danube,DE
3,Pfelling,4517500.0,2867500.0,37725.0,Danube,Danube,Danube,DE
4,Barby,4452500.0,3207500.0,93975.0,"Elbe, below Saale",Elbe,Elbe,DE
5,Wittenberg / Lutherstadt,4497500.0,3197500.0,61675.0,Elbe,Elbe,Elbe,DE
6,Malliss OP,4407500.0,3342500.0,2900.0,Elbe,Muritz-Elde,Elbe,DE
8,Grosse Traenke Wehr UP,4592500.0,3257500.0,6625.0,Havel,Muggelspree,Elbe,DE
9,Rathenow UP,4472500.0,3287500.0,18875.0,Havel,Havel,Elbe,DE
10,Plau OP,4467500.0,3377500.0,1250.0,Elbe,Muritz-Elde,Elbe,DE
11,Calbe Grizehne,4442500.0,3202500.0,23725.0,Saale,Saale,Elbe,DE
12,Tangermuende,4457500.0,3272500.0,97875.0,"Elbe, below Saale",Elbe,Elbe,DE
13,Bernburg UP,4442500.0,3187500.0,19700.0,Saale,Saale,Elbe,DE
14,Wittenberge,4432500.0,3327500.0,123300.0,Elbe,Elbe,Elbe,DE
15,Aken,4457500.0,3202500.0,69875.0,"Elbe, below Mulde",Elbe,Elbe,DE
16,Magdeburg-Strombruecke,4437500.0,3222500.0,94975.0,"Elbe, below Saale",Elbe,Elbe,DE
17,Havelberg Stadt,4462500.0,3302500.0,23550.0,Havel,Lower Havel waterway,Elbe,DE
18,Halle-Trotha UP,4457500.0,3157500.0,18000.0,Saale,Saale,Elbe,DE
19,Neu Darchau,4377500.0,3352500.0,131450.0,Elbe,Elbe,Elbe,DE
21,Eisenhuettenstadt,4642500.0,3237500.0,51150.0,"Oder, below Neisse",Oder,Oder,DE
26,Hohensaaten-Finow,4602500.0,3307500.0,109875.0,"Oder, below Warta",Oder,Oder,DE
27,Leun (Neu),4207500.0,3047500.0,3575.0,Lahn,Lahn,Rhine,DE
28,Maxau,4192500.0,2877500.0,50425.0,Rhine,Rhine,Rhine,DE
29,Raunheim,4207500.0,2987500.0,27100.0,Main,Main,Rhine,DE
30,Plittersdorf,4182500.0,2862500.0,48500.0,Rhine,Rhine,Rhine,DE
31,Frankfurt-Osthafen,4222500.0,2997500.0,24775.0,Main,Main,Rhine,DE
32,Perl,4057500.0,2942500.0,11525.0,Moselle,Moselle,Rhine,DE
33,Plochingen,4277500.0,2842500.0,3975.0,Neckar,Neckar,Rhine,DE
34,Schweinfurt Neuer Hafen,4332500.0,2982500.0,12825.0,Main,Main,Rhine,DE
35,Kleinheubach,4262500.0,2957500.0,21550.0,Main,Main,Rhine,DE
36,Kaub,4162500.0,2992500.0,103525.0,Rhine,Rhine,Rhine,DE
38,Cochem,4122500.0,3007500.0,27025.0,Moselle,Moselle,Rhine,DE
39,Trunstadt,4372500.0,2982500.0,11950.0,Main,Main,Rhine,DE
40,Koeln,4107500.0,3092500.0,144150.0,Rhine,Rhine,Rhine,DE
42,Kalkofen (Neu),4172500.0,3027500.0,5275.0,Lahn,Lahn,Rhine,DE
43,Wuerzburg,4317500.0,2967500.0,14125.0,Main,Main,Rhine,DE
45,Worms,4202500.0,2947500.0,68950.0,Rhine,Rhine,Rhine,DE
46,Emmerich,4057500.0,3197500.0,159550.0,Rhine,Rhine,Rhine,DE
47,Ruhrort,4092500.0,3157500.0,152875.0,Rhine,Rhine,Rhine,DE
48,Rees,4067500.0,3192500.0,159400.0,Rhine,Rhine,Rhine,DE
49,Mainz,4197500.0,2987500.0,98300.0,Rhine,Rhine,Rhine,DE
50,Koblenz,4147500.0,3027500.0,109850.0,Rhine,Rhine,Rhine,DE
51,St.Arnual,4102500.0,2902500.0,3900.0,Moselle,Saar,Rhine,DE
52,Kehl-Kronenhof,4157500.0,2832500.0,39525.0,Rhine,Rhine,Rhine,DE
53,Diez Hafen,4182500.0,3032500.0,4900.0,Lahn,Lahn,Rhine,DE
54,Wesel,4087500.0,3172500.0,154150.0,Rhine,Rhine,Rhine,DE
57,Andernach,4132500.0,3042500.0,139600.0,Rhine,Rhine,Rhine,DE
58,Düsseldorf,4092500.0,3127500.0,147750.0,Rhine,Rhine,Rhine,DE
59,Steinbach,4297500.0,2992500.0,17925.0,Main,Main,Rhine,DE
60,Fremersdorf,4077500.0,2932500.0,7025.0,Moselle,Saar,Rhine,DE
62,Bonn,4117500.0,3072500.0,140775.0,Rhine,Rhine,Rhine,DE
63,Speyer,4212500.0,2917500.0,53250.0,Rhine,Rhine,Rhine,DE
64,Heidelberg UP,4227500.0,2922500.0,13900.0,Neckar,Neckar,Rhine,DE
67,Breisach,4142500.0,2777500.0,37575.0,Rhine,Rhine,Rhine,DE
68,Rheinweiler,4137500.0,2737500.0,36650.0,Rhine,Rhine,Rhine,DE
69,Erlln,4517500.0,3117500.0,5375.0,Mulde,Freiberger Mulde,Elbe,DE
71,Kriebstein UP,4532500.0,3112500.0,1800.0,Mulde,Zschopau,Elbe,DE
73,Zwickau-Poelbitz,4497500.0,3072500.0,1025.0,Mulde,Zwickauer Mulde,Elbe,DE
74,Wolkenburg,4507500.0,3087500.0,1400.0,Mulde,Zwickauer Mulde,Elbe,DE
75,Wechselburg 1,4517500.0,3102500.0,2125.0,Mulde,Zwickauer Mulde,Elbe,DE
76,Riesa,4552500.0,3137500.0,54450.0,"Elbe, below Ohre",Elbe,Elbe,DE
77,Muehlberg,4542500.0,3152500.0,55075.0,"Elbe, below Ohre",Elbe,Elbe,DE
78,Torgau,4532500.0,3157500.0,55150.0,"Elbe, below Ohre",Elbe,Elbe,DE
79,Lichtenwalde 1,4532500.0,3092500.0,1600.0,Mulde,Zschopau,Elbe,DE
80,Colditz,4517500.0,3112500.0,2325.0,Mulde,Zwickauer Mulde,Elbe,DE
81,Kleindalzig,4482500.0,3122500.0,2975.0,Saale,White Elster,Elbe,DE
82,Golzern 1,4512500.0,3127500.0,5500.0,Mulde,United Mulde,Elbe,DE
83,Bad Dueben 1,4502500.0,3162500.0,6050.0,Mulde,United Mulde,Elbe,DE
84,Oberthau,4477500.0,3142500.0,4950.0,Saale,White Elster,Elbe,DE
85,Boehlen 1,4487500.0,3132500.0,1400.0,Saale,Pleisse,Elbe,DE
86,Neuwiese,4617500.0,3157500.0,675.0,Schwarze Elster,Schwarze Elster,Elbe,DE
87,Schoena,4617500.0,3092500.0,51400.0,"Elbe, below Ohre",Elbe,Elbe,DE
88,Pirna,4607500.0,3102500.0,52000.0,"Elbe, below Ohre",Elbe,Elbe,DE
89,Dresden,4582500.0,3112500.0,53125.0,"Elbe, below Ohre",Elbe,Elbe,DE
90,Meissen,4562500.0,3122500.0,53950.0,"Elbe, below Ohre",Elbe,Elbe,DE
91,Podrosche 3,4657500.0,3167500.0,2100.0,Neisse,Lusatian Neisse,Oder,DE
92,Sprey,4637500.0,3152500.0,1650.0,Havel,Spree,Elbe,DE
93,Spreewitz,4632500.0,3162500.0,2100.0,Havel,Spree,Elbe,DE
94,Goerlitz,4672500.0,3127500.0,1600.0,Neisse,Lusatian Neisse,Oder,DE
95,Gornja Radgona,4772500.0,2642500.0,10200.0,Drava,Mur,Danube,SI
96,Ptuj,4767500.0,2612500.0,13750.0,Drava,Drava,Danube,SI
97,Borl,4777500.0,2602500.0,14775.0,Drava,Drava,Danube,SI
98,Radovljica,4642500.0,2587500.0,900.0,Sava,Sava,Danube,SI
99,Medno,4667500.0,2567500.0,2125.0,Sava,Sava,Danube,SI
100,Å Entjakob,4672500.0,2562500.0,2150.0,Sava,Sava,Danube,SI
101,Hrastnik,4717500.0,2567500.0,5200.0,Sava,Sava,Danube,SI
102,Jesenice na Dolenjskem,4767500.0,2542500.0,10675.0,Sava,Sava,Danube,SI
103,Moste,4667500.0,2557500.0,1825.0,Sava,Ljubljanica,Danube,SI
104,Medlog,4722500.0,2582500.0,1000.0,Sava,Savinja,Danube,SI
105,Laško,4727500.0,2572500.0,1675.0,Sava,Savinja,Danube,SI
106,Veliko Širje,4722500.0,2572500.0,1700.0,Sava,Savinja,Danube,SI
107,Podbočje,4747500.0,2547500.0,1875.0,Sava,Krka,Danube,SI
108,Solkan,4602500.0,2542500.0,1550.0,Soca,Soca,Soca,SI
109,Bollendorf,4062500.0,2972500.0,3250.0,Moselle,Sauer,Rhine,DE
110,Boos,4157500.0,2967500.0,2850.0,Nahe,Nahe,Rhine,DE
111,Dietersheim,4172500.0,2982500.0,4025.0,Nahe,Nahe,Rhine,DE
