station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_5
3253,Le Rhône à Tarascon,3887500.0,2307500.0,95975.0,Rhone,Rhone,Rhone,FR,1.0,111,4788.463989166679,5548.68474991093,7419.566690824262,8658.253326518025,9846.431286543893,11384.405779373468,12536.901236010111,13685.191430318358,15200.14229889182,1
1925,La Durance à Saint-Paul-Les-Durance [Jouques-Cadarache],3977500.0,2297500.0,11850.0,Durance,Durance,Rhone,FR,2.0,211,739.3428631327952,918.3435772798691,1358.8593074481641,1650.5190513580146,1930.2860800435078,2292.4158017929667,2563.7810688862437,2834.156169703053,3190.8647751177473,0
2072,SAUZE ST MARTIN,3872500.0,2387500.0,1925.0,Rhone,Ardeche,Rhone,FR,2.0,321,534.3453477417135,687.3389240986538,1063.8518185922544,1313.1361162149678,1552.255599448873,1861.7712430013999,2093.709662406501,2324.8017774795417,2629.683942445937,2
1923,L'Isere à Beaumont-Monteux,3922500.0,2447500.0,11850.0,Isere,Isere,Rhone,FR,2.0,411,701.6107574688953,782.5487408739305,981.7348448395455,1113.6133774195687,1240.1144320824983,1403.8570715970282,1526.5591378393578,1648.813484853109,1810.104881499527,0
3246,La Dheune à Palleau,3942500.0,2662500.0,1000.0,Saone,Dheune,Rhone,FR,3.0,632,25.82941617634315,31.82523375897285,46.580772433516174,56.35022295784832,65.72131445111636,77.8512311567794,86.94089679026968,95.9973957607192,107.94572646102836,0
3244,La Loue à Champagne-sur-Loue,4002500.0,2667500.0,1350.0,Saone,Loue,Rhone,FR,4.0,642,242.41131250054795,277.4218720519649,363.58187581441416,420.6272953344555,475.3466313158116,546.1751989506336,599.25124330624,652.1336220915539,721.901879340589,1
3242,Le Doubs à Rochefort-sur-Nenon,3982500.0,2677500.0,5225.0,Saone,Doubs,Rhone,FR,3.0,643,531.9809546688673,615.3682969252296,820.5822042321767,956.4516671206367,1086.7809179518636,1255.4787647320295,1381.8940615168449,1507.8480901185699,1674.0205141071424,0
3230,La Tille à Cessey-sur-Tille,3957500.0,2697500.0,1100.0,Saone,Tille,Rhone,FR,3.0,654,59.87019353633763,67.6702279085217,86.86589342959488,99.57509427451467,111.7660648544291,127.54602579086655,139.3708859364263,151.15259915362088,166.69633257583718,0
3229,La Saône à Auxonne,3972500.0,2687500.0,8825.0,Saone,Saone,Rhone,FR,2.0,655,652.7898829151268,743.5495350326889,966.9064898520887,1114.7882288724468,1256.6399433667066,1440.2524374509808,1577.8441635819668,1714.9338406165625,1895.7976382222976,0
3227,L'Ognon à Beaumotte-Aubertans,4032500.0,2707500.0,1250.0,Saone,Ognon,Rhone,FR,3.0,661,112.04635206591587,127.69436091924686,166.20367122312268,191.70018544994144,216.1570540306094,247.81396176413898,271.5363593098447,295.1721978117262,326.35519862926645,0
3223,La Saône à Cendrecourt,4017500.0,2757500.0,1225.0,Saone,Saone,Rhone,FR,2.0,675,122.65272351919002,143.28094210233553,194.04640867896194,227.65756480168733,259.89819270968405,301.6303784794223,332.9027791072456,364.06107199822577,405.168522982681,0
1919,Le Rhone à Lyon [Perrache],3922500.0,2532500.0,20700.0,Rhone,Rhone,Rhone,FR,1.0,711,1596.5121168384883,1813.1013007672766,2346.121199372553,2699.026751840968,3037.542230518813,3475.7157947071137,3804.0652207214634,4131.216554835479,4562.8306191439915,0
1012,L'Ain à Pont-d'Ain,3962500.0,2562500.0,2750.0,Ain,Ain,Rhone,FR,2.0,811,466.0329886359935,560.5916735584002,793.2979414122967,947.3697391720611,1095.1591066234864,1286.4572834107084,1429.8083471884468,1572.636347014159,1761.0707719226843,0
366,"Geneve, Bout Du Monde",4027500.0,2572500.0,1925.0,"Rhone, headwaters",Arve,Rhone,CH,2.0,941,326.5777697664978,359.41467147739877,440.2253643428861,493.7290745902392,545.0511180059332,611.4822388891304,661.2630157187293,710.8621508557086,776.298791548722,0
369,Branson,4097500.0,2562500.0,3725.0,"Rhone, headwaters",Rhone,Rhone,CH,1.0,951,428.12352652164805,529.715626092435,779.7309298581204,945.2628155003996,1104.044974388811,1309.572192114237,1463.5859197463062,1617.0376771570286,1819.4881329092386,0
