model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
COS,1,0.500,f0.8,12,0.875,1/1,588,286,231,874,0.673,0.718,0.700
COS,1,0.500,f0.8,60,0.725,1/1,338,536,154,874,0.387,0.687,0.527
DWD,1,0.500,f0.8,12,0.050,2/2,511,363,366,874,0.585,0.583,0.583
DWD,1,0.500,f0.8,60,0.050,3/3,367,507,336,874,0.420,0.522,0.477
DWD,1,0.500,f0.8,144,0.050,2/2,254,620,456,874,0.291,0.358,0.328
EUD,1,0.500,f0.8,12,0.050,2/2,507,367,249,874,0.580,0.671,0.632
EUD,1,0.500,f0.8,60,0.050,3/3,364,510,231,874,0.416,0.612,0.517
EUD,1,0.500,f0.8,144,0.050,2/2,239,635,318,874,0.273,0.429,0.351
EUD,1,0.500,f0.8,180,0.050,2/2,213,661,421,874,0.244,0.336,0.293
EUE,1,0.500,f0.8,12,0.800,1/1,595,279,242,874,0.681,0.711,0.699
EUE,1,0.500,f0.8,60,0.650,1/1,364,510,138,874,0.416,0.725,0.562
EUE,1,0.500,f0.8,144,0.450,1/1,231,643,151,874,0.264,0.605,0.402
EUE,1,0.500,f0.8,180,0.175,2/2,251,623,383,874,0.287,0.396,0.345
