model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
COS,1,0.500,f0.8,12,0.775,1/1,583,291,219,874,0.667,0.727,0.702
COS,1,0.500,f0.8,36,0.625,1/1,455,419,153,874,0.521,0.748,0.639
COS,1,0.500,f0.8,60,0.725,1/1,329,545,119,874,0.376,0.734,0.536
COS,1,0.500,f0.8,84,0.475,1/1,330,544,203,874,0.378,0.619,0.495
COS,1,0.500,f0.8,108,0.475,1/1,258,616,203,874,0.295,0.560,0.415
COS,1,0.500,f0.8,132,0.375,1/1,233,641,323,874,0.267,0.419,0.343
DWD,1,0.500,f0.8,12,0.050,1/1,601,273,363,874,0.688,0.623,0.647
DWD,1,0.500,f0.8,36,0.050,1/1,494,380,588,874,0.565,0.457,0.494
DWD,1,0.500,f0.8,60,0.050,1/1,485,389,828,874,0.555,0.369,0.425
DWD,1,0.500,f0.8,84,0.050,1/1,442,432,999,874,0.506,0.307,0.362
DWD,1,0.500,f0.8,108,0.050,1/1,405,469,1315,874,0.463,0.235,0.291
DWD,1,0.500,f0.8,132,0.050,1/1,370,504,1326,874,0.423,0.218,0.269
DWD,1,0.500,f0.8,144,0.050,1/1,364,510,1406,874,0.416,0.206,0.256
DWD,1,0.500,f0.8,156,0.050,1/1,357,517,1952,874,0.408,0.155,0.204
EUD,1,0.500,f0.8,12,0.050,1/1,596,278,285,874,0.682,0.677,0.679
EUD,1,0.500,f0.8,36,0.050,1/1,487,387,415,874,0.557,0.540,0.547
EUD,1,0.500,f0.8,60,0.050,1/1,441,433,530,874,0.505,0.454,0.473
EUD,1,0.500,f0.8,84,0.050,1/1,407,467,689,874,0.466,0.371,0.403
EUD,1,0.500,f0.8,108,0.050,1/1,392,482,824,874,0.449,0.322,0.362
EUD,1,0.500,f0.8,132,0.050,1/1,330,544,797,874,0.378,0.293,0.321
EUD,1,0.500,f0.8,144,0.050,1/1,319,555,823,874,0.365,0.279,0.307
EUD,1,0.500,f0.8,156,0.050,1/1,304,570,1151,874,0.348,0.209,0.248
EUD,1,0.500,f0.8,180,0.050,1/1,288,586,1452,874,0.330,0.166,0.205
EUD,1,0.500,f0.8,204,0.050,1/1,256,618,1793,874,0.293,0.125,0.161
EUD,1,0.500,f0.8,228,0.050,1/1,229,645,2225,874,0.262,0.093,0.125
EUE,1,0.500,f0.8,12,0.800,1/1,582,292,213,874,0.666,0.732,0.705
EUE,1,0.500,f0.8,36,0.875,1/1,434,440,83,874,0.497,0.839,0.661
EUE,1,0.500,f0.8,60,0.450,1/1,399,475,186,874,0.457,0.682,0.572
EUE,1,0.500,f0.8,84,0.425,1/1,345,529,195,874,0.395,0.639,0.515
EUE,1,0.500,f0.8,108,0.275,1/1,354,520,283,874,0.405,0.556,0.485
EUE,1,0.500,f0.8,132,0.400,1/1,255,619,169,874,0.292,0.601,0.425
EUE,1,0.500,f0.8,144,0.400,1/1,237,637,183,874,0.271,0.564,0.397
EUE,1,0.500,f0.8,156,0.550,1/1,197,677,100,874,0.225,0.663,0.377
EUE,1,0.500,f0.8,180,0.425,1/1,184,690,155,874,0.211,0.543,0.336
EUE,1,0.500,f0.8,204,0.200,1/1,225,649,429,874,0.257,0.344,0.304
EUE,1,0.500,f0.8,228,0.225,1/1,182,692,373,874,0.208,0.328,0.268
