approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
1D+1P,1,0.500,,12,0.300,3/3,445,429,142,874,0.509,0.758,0.637
1D+1P,1,0.500,f0.8,12,0.900,1/1,580,294,228,874,0.664,0.718,0.696
1D+1P,1,0.500,,48,0.300,3/3,382,492,225,874,0.437,0.629,0.537
1D+1P,1,0.500,f0.8,48,0.625,1/1,446,428,214,874,0.510,0.676,0.600
1D+1P,1,0.500,,144,0.300,3/3,188,686,119,874,0.215,0.612,0.356
1D+1P,1,0.500,f0.8,144,0.425,1/1,229,645,153,874,0.262,0.599,0.399
1D+1P,1,0.500,,180,0.300,3/3,105,769,63,874,0.120,0.625,0.237
1D+1P,1,0.500,f0.8,180,0.250,1/1,224,650,317,874,0.256,0.414,0.334
BW,1,0.500,f0.8,12,0.800,1/1,544,330,97,874,0.622,0.849,0.743
BW,1,0.500,f0.8,48,0.650,1/1,414,460,165,874,0.474,0.715,0.596
BW,1,0.500,f0.8,144,0.675,1/1,215,659,109,874,0.246,0.664,0.399
BW,1,0.500,f0.8,180,0.425,1/1,233,641,302,874,0.267,0.436,0.349
MM,1,0.500,f0.8,12,0.775,1/1,544,330,98,874,0.622,0.847,0.743
MM,1,0.500,f0.8,48,0.700,1/1,411,463,158,874,0.470,0.722,0.597
MM,1,0.500,f0.8,144,0.500,1/1,241,633,344,874,0.276,0.412,0.345
MM,1,0.500,f0.8,180,0.225,2/2,220,654,438,874,0.252,0.334,0.296
MW,1,0.500,f0.8,12,0.750,1/1,583,291,226,874,0.667,0.721,0.699
MW,1,0.500,f0.8,48,0.600,1/1,408,466,140,874,0.467,0.745,0.604
MW,1,0.500,f0.8,144,0.425,1/1,237,637,172,874,0.271,0.579,0.401
MW,1,0.500,f0.8,180,0.175,2/2,243,631,361,874,0.278,0.402,0.343
