approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
1D+1P,1,0.500,,12,0.300,3/3,456,418,164,874,0.522,0.735,0.634
1D+1P,1,0.500,f0.8,12,0.925,1/1,579,295,229,874,0.662,0.717,0.694
1D+1P,1,0.500,,60,0.300,3/3,362,512,236,874,0.414,0.605,0.513
1D+1P,1,0.500,f0.8,60,0.600,1/1,398,476,226,874,0.455,0.638,0.552
1D+1P,1,0.500,,180,0.300,3/3,105,769,63,874,0.120,0.625,0.237
1D+1P,1,0.500,f0.8,180,0.250,1/1,224,650,317,874,0.256,0.414,0.334
BW,1,0.500,f0.8,12,0.950,1/1,542,332,112,874,0.620,0.829,0.733
BW,1,0.500,f0.8,60,0.525,1/1,390,484,190,874,0.446,0.672,0.561
BW,1,0.500,f0.8,180,0.300,1/1,223,651,278,874,0.255,0.445,0.345
MM,1,0.500,f0.8,12,0.775,1/1,549,325,106,874,0.628,0.838,0.741
MM,1,0.500,f0.8,60,0.800,1/1,331,543,146,874,0.379,0.694,0.524
MM,1,0.500,f0.8,180,0.225,2/2,220,654,438,874,0.252,0.334,0.296
MW,1,0.500,f0.8,12,0.750,1/1,588,286,231,874,0.673,0.718,0.700
MW,1,0.500,f0.8,60,0.575,1/1,371,503,157,874,0.424,0.703,0.560
MW,1,0.500,f0.8,180,0.175,2/2,243,631,361,874,0.278,0.402,0.343
