approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
1D+1P,1,0.500,,12,0.300,3/3,439.000,435.000,110.000,874.000,0.502,0.800,0.650
1D+1P,1,0.500,f0.8,12,0.900,1/1,576.000,298.000,210.000,874.000,0.659,0.733,0.702
1D+1P,1,0.500,,36,0.300,3/3,381.000,493.000,143.000,874.000,0.436,0.727,0.577
1D+1P,1,0.500,f0.8,36,0.775,1/1,440.000,434.000,120.000,874.000,0.503,0.786,0.645
1D+1P,1,0.500,,60,0.300,3/3,349.000,525.000,165.000,874.000,0.399,0.679,0.533
1D+1P,1,0.500,f0.8,60,0.600,1/1,386.000,488.000,180.000,874.000,0.442,0.682,0.563
1D+1P,1,0.500,,84,0.300,3/3,298.000,576.000,127.000,874.000,0.341,0.701,0.496
1D+1P,1,0.500,f0.8,84,0.375,1/1,392.000,482.000,299.000,874.000,0.449,0.567,0.514
1D+1P,1,0.500,,108,0.300,3/3,248.000,626.000,151.000,874.000,0.284,0.622,0.424
1D+1P,1,0.500,f0.8,108,0.425,1/1,311.000,563.000,220.000,874.000,0.356,0.586,0.468
1D+1P,1,0.500,,132,0.300,3/3,200.000,674.000,129.000,874.000,0.229,0.608,0.369
1D+1P,1,0.500,f0.8,132,0.400,1/1,271.000,603.000,267.000,874.000,0.310,0.504,0.405
1D+1P,1,0.500,,144,0.300,3/3,184.000,690.000,106.000,874.000,0.211,0.634,0.355
1D+1P,1,0.500,f0.8,144,0.400,1/1,234.000,640.000,175.000,874.000,0.268,0.572,0.396
1D+1P,1,0.500,,156,0.300,3/3,167.000,707.000,132.000,874.000,0.191,0.559,0.319
1D+1P,1,0.500,f0.8,156,0.425,1/1,218.000,656.000,146.000,874.000,0.249,0.599,0.387
1D+1P,1,0.500,,180,0.300,3/3,105.000,769.000,69.000,874.000,0.120,0.603,0.235
1D+1P,1,0.500,f0.8,180,0.225,1/1,215.000,659.000,292.000,874.000,0.246,0.424,0.331
1D+1P,1,0.500,,204,0.300,3/3,82.000,792.000,64.000,874.000,0.094,0.562,0.191
1D+1P,1,0.500,f0.8,204,0.175,1/1,189.000,685.000,361.000,874.000,0.216,0.344,0.279
1D+1P,1,0.500,,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.175,1/1,162.000,712.000,379.000,874.000,0.185,0.299,0.241
BW,1,0.500,f0.8,12,0.800,1/1,540.000,334.000,91.000,874.000,0.618,0.856,0.744
BW,1,0.500,f0.8,36,0.650,1/1,452.000,422.000,120.000,874.000,0.517,0.790,0.655
BW,1,0.500,f0.8,60,0.525,1/1,405.000,469.000,202.000,874.000,0.463,0.667,0.569
BW,1,0.500,f0.8,84,0.600,1/1,314.000,560.000,152.000,874.000,0.359,0.674,0.502
BW,1,0.500,f0.8,108,0.475,1/1,315.000,559.000,225.000,874.000,0.360,0.583,0.470
BW,1,0.500,f0.8,132,0.425,1/1,263.000,611.000,264.000,874.000,0.301,0.499,0.397
BW,1,0.500,f0.8,144,0.675,1/1,219.000,655.000,139.000,874.000,0.251,0.612,0.392
BW,1,0.500,f0.8,156,0.675,1/1,199.000,675.000,102.000,874.000,0.228,0.661,0.379
BW,1,0.500,f0.8,180,0.425,1/1,229.000,645.000,303.000,874.000,0.262,0.430,0.344
BW,1,0.500,f0.8,204,0.300,1/1,211.000,663.000,419.000,874.000,0.241,0.335,0.291
BW,1,0.500,f0.8,228,0.250,1/1,189.000,685.000,387.000,874.000,0.216,0.328,0.273
MM,1,0.500,f0.8,12,0.775,1/1,540.000,334.000,91.000,874.000,0.618,0.856,0.744
MM,1,0.500,f0.8,36,0.700,1/1,441.000,433.000,113.000,874.000,0.505,0.796,0.650
MM,1,0.500,f0.8,60,0.475,1/1,419.000,455.000,242.000,874.000,0.479,0.634,0.563
MM,1,0.500,f0.8,84,0.675,1/1,303.000,571.000,135.000,874.000,0.347,0.692,0.498
MM,1,0.500,f0.8,108,0.625,1/1,284.000,590.000,162.000,874.000,0.325,0.637,0.463
