model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
COS,1,0.500,f0.8,12,0.875,1/1,437,241,184,678,0.645,0.704,0.679,0.673,0.666
COS,1,0.500,f1,12,0.875,1/1,437,241,184,678,0.645,0.704,0.679,0.673,0.666
COS,1,0.500,f1.25,12,0.625,1/1,450,228,217,678,0.664,0.675,0.670,0.669,0.668
COS,1,0.500,f0.8,60,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,1,0.500,f1,60,0.525,1/1,273,405,200,678,0.403,0.577,0.494,0.474,0.457
COS,1,0.500,f1.25,60,0.375,1/1,324,354,428,678,0.478,0.431,0.448,0.453,0.458
DWD,1,0.500,f0.8,12,0.050,2/2,375,303,299,678,0.553,0.556,0.555,0.555,0.554
DWD,1,0.500,f1,12,0.050,1/1,473,205,494,678,0.698,0.489,0.554,0.575,0.598
DWD,1,0.500,f1.25,12,0.050,1/1,473,205,494,678,0.698,0.489,0.554,0.575,0.598
DWD,1,0.500,f0.8,60,0.050,3/3,266,412,265,678,0.392,0.501,0.452,0.440,0.429
DWD,1,0.500,f1,60,0.050,3/4,282,396,313,678,0.416,0.474,0.449,0.443,0.437
DWD,1,0.500,f1.25,60,0.050,2/2,337,341,540,678,0.497,0.384,0.422,0.433,0.446
EUD,1,0.500,f0.8,12,0.050,2/2,372,306,191,678,0.549,0.661,0.612,0.600,0.588
EUD,1,0.500,f1,12,0.050,1/1,466,212,367,678,0.687,0.559,0.603,0.617,0.631
EUD,1,0.500,f1.25,12,0.050,1/1,466,212,367,678,0.687,0.559,0.603,0.617,0.631
EUD,1,0.500,f0.8,60,0.050,3/3,246,432,211,678,0.363,0.538,0.453,0.433,0.416
EUD,1,0.500,f1,60,0.050,3/3,246,432,211,678,0.363,0.538,0.453,0.433,0.416
EUD,1,0.500,f1.25,60,0.050,3/3,246,432,211,678,0.363,0.538,0.453,0.433,0.416
EUD,1,0.500,f0.8,180,0.050,2/3,132,546,338,678,0.195,0.281,0.239,0.230,0.221
EUD,1,0.500,f1,180,0.050,2/4,141,537,405,678,0.208,0.258,0.236,0.230,0.225
EUD,1,0.500,f1.25,180,0.050,2/4,141,537,405,678,0.208,0.258,0.236,0.230,0.225
EUE,1,0.500,f0.8,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f1,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f1.25,12,0.800,1/1,451,227,187,678,0.665,0.707,0.690,0.685,0.681
EUE,1,0.500,f0.8,60,0.500,1/1,272,406,174,678,0.401,0.610,0.507,0.484,0.463
EUE,1,0.500,f1,60,0.400,1/1,304,374,264,678,0.448,0.535,0.498,0.488,0.479
EUE,1,0.500,f1.25,60,0.225,1/1,367,311,534,678,0.541,0.407,0.451,0.465,0.480
EUE,1,0.500,f0.8,180,0.175,2/2,156,522,262,678,0.230,0.373,0.300,0.285,0.271
EUE,1,0.500,f1,180,0.175,2/4,158,520,286,678,0.233,0.356,0.295,0.282,0.269
EUE,1,0.500,f1.25,180,0.175,2/4,158,520,286,678,0.233,0.356,0.295,0.282,0.269
