id,name,X,Y,area,subcatchment,river,catchment,country,KGE,correlation,bias,variability,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f0.8
1,Schwabelweis,4477500,2882500,35525,Danube,Danube,Danube,DE,0.861,0.874,1.056,0.979,,211311,1395.0,1579.9,2034.7,2335.8,2624.6,2998.5,3278.7,3557.8,3926.1,0,0.0,0.0,0.0,,,
2,Hofkirchen,4547500,2847500,47525,Danube,Danube,Danube,DE,0.844,0.878,1.098,1.001,,211111,1862.7,2106.7,2707.3,3105.0,3486.4,3980.1,4350.0,4718.7,5205.0,0,0.0,0.0,0.0,,,
3,Pfelling,4517500,2867500,37725,Danube,Danube,Danube,DE,,,,,,211311,1425.8,1617.1,2087.9,2399.6,2698.6,3085.7,3375.7,3664.7,4045.9,0,0.0,0.0,0.0,,,
4,Barby,4452500,3207500,93975,"Elbe, below Saale",Elbe,Elbe,DE,0.613,0.653,1.162,1.054,1.0,3111,1367.5,1836.7,2991.4,3756.0,4489.4,5438.6,6150.0,6858.7,7793.8,0,0.0,0.0,0.0,,,
5,Wittenberg / Lutherstadt,4497500,3197500,61675,Elbe,Elbe,Elbe,DE,0.692,0.753,1.168,0.923,1.0,7111,990.9,1363.2,2279.5,2886.1,3468.0,4221.3,4785.7,5348.1,6090.0,0,0.0,0.0,0.0,,,
8,Grosse Traenke Wehr UP,4592500,3257500,6625,Havel,Muggelspree,Elbe,DE,,,,,3.0,2211,74.7,105.9,182.5,233.3,282.0,345.0,392.3,439.3,501.4,0,0.0,0.0,0.0,,,
9,Rathenow UP,4472500,3287500,18875,Havel,Havel,Elbe,DE,0.692,0.741,0.89,1.125,2.0,2111,189.0,231.0,334.2,402.6,468.1,553.0,616.6,680.0,763.6,0,0.0,0.0,1.0,,0.0,0.0
11,Calbe Grizehne,4442500,3202500,23725,Saale,Saale,Elbe,DE,0.718,0.753,1.12,0.938,2.0,4111,341.8,426.4,634.7,772.5,904.8,1076.0,1204.3,1332.1,1500.8,0,0.0,0.0,0.0,,,
12,Tangermuende,4457500,3272500,97875,"Elbe, below Saale",Elbe,Elbe,DE,0.751,0.775,1.107,1.004,1.0,3111,1341.3,1803.3,2940.3,3693.1,4415.2,5349.8,6050.2,6748.1,7668.8,0,0.0,0.0,0.0,,,
13,Bernburg UP,4442500,3187500,19700,Saale,Saale,Elbe,DE,,,,,2.0,4111,294.5,368.7,551.3,672.2,788.2,938.3,1050.8,1162.8,1310.7,1,0.0,1.0,0.0,0.0,,0.0
14,Wittenberge,4432500,3327500,123300,Elbe,Elbe,Elbe,DE,0.745,0.756,1.069,0.971,1.0,1151,1483.9,1957.9,3124.6,3897.1,4638.0,5597.1,6315.8,7031.9,7976.6,0,0.0,0.0,0.0,,,
15,Aken,4457500,3202500,69875,"Elbe, below Mulde",Elbe,Elbe,DE,0.561,0.629,1.182,1.149,1.0,5111,1117.7,1538.0,2572.2,3257.0,3913.8,4764.1,5401.2,6036.0,6873.5,0,0.0,0.0,0.0,,,
