approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,259,419,164,678,0.382,0.612,0.496,0.470,0.452
1D+1P,f0.8,0.650,1/1,278,400,143,678,0.410,0.660,0.533,0.506,0.485
1D+1P,f1,0.425,1/1,337,341,269,678,0.497,0.556,0.531,0.525,0.520
1D+1P,f1.2,0.400,1/1,349,329,300,678,0.515,0.538,0.529,0.526,0.524
BW,f0.8,0.625,1/1,268,410,160,678,0.395,0.626,0.510,0.485,0.466
BW,f1,0.525,1/1,310,368,258,678,0.457,0.546,0.507,0.498,0.490
BW,f1.2,0.375,1/1,370,308,486,678,0.546,0.432,0.470,0.482,0.493
MM,f0.8,0.375,3/3,257,421,182,678,0.379,0.585,0.483,0.460,0.443
MM,f1,0.125,3/3,355,323,449,678,0.524,0.442,0.470,0.479,0.487
MM,f1.2,0.125,3/3,355,323,449,678,0.524,0.442,0.470,0.479,0.487
MW,f0.8,0.575,1/1,257,421,112,678,0.379,0.696,0.525,0.491,0.466
MW,f1,0.400,1/1,301,377,212,678,0.444,0.587,0.521,0.505,0.493
MW,f1.2,0.250,1/1,363,315,454,678,0.535,0.444,0.476,0.486,0.494
