approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,280,468,191,748,0.374,0.594,0.484,0.459,0.441
1D+1P,f0.8,0.650,1/1,297,451,166,748,0.397,0.641,0.517,0.491,0.471
1D+1P,f1,0.400,1/1,369,379,344,748,0.493,0.518,0.508,0.505,0.503
1D+1P,f1.2,0.400,1/1,369,379,344,748,0.493,0.518,0.508,0.505,0.503
BW,f0.8,0.650,1/1,277,471,148,748,0.370,0.652,0.503,0.472,0.450
BW,f1,0.450,1/1,365,383,419,748,0.488,0.466,0.474,0.477,0.479
BW,f1.2,0.425,1/1,373,375,452,748,0.499,0.452,0.469,0.474,0.478
MM,f0.8,0.775,1/1,248,500,148,748,0.332,0.626,0.465,0.434,0.411
MM,f1,0.150,3/3,375,373,473,748,0.501,0.442,0.464,0.470,0.475
MM,f1.2,0.150,3/3,375,373,473,748,0.501,0.442,0.464,0.470,0.475
MW,f0.8,0.475,1/1,297,451,178,748,0.397,0.625,0.511,0.486,0.467
MW,f1,0.400,1/1,320,428,234,748,0.428,0.578,0.508,0.492,0.479
MW,f1.2,0.400,1/1,320,428,234,748,0.428,0.578,0.508,0.492,0.479
