model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
1D+1P,1,0.500,f0.8,12,0.925,1/1,579.000,295.000,229.000,874.000,0.662,0.717,0.694,0.688,0.683
1D+1P,1,0.500,f1,12,0.925,1/1,579.000,295.000,229.000,874.000,0.662,0.717,0.694,0.688,0.683
1D+1P,1,0.500,f1.25,12,0.775,1/1,586.000,288.000,250.000,874.000,0.670,0.701,0.689,0.685,0.682
BW,1,0.500,f0.8,12,0.95,1/1,542.000,332.000,112.000,874.000,0.620,0.829,0.733,0.709,0.688
BW,1,0.500,f1,12,0.925,1/1,553.000,321.000,125.000,874.000,0.633,0.816,0.733,0.713,0.693
BW,1,0.500,f1.25,12,0.875,1/1,567.000,307.000,162.000,874.000,0.649,0.778,0.722,0.707,0.694
MM,1,0.500,f0.8,12,0.775,1/1,549.000,325.000,106.000,874.000,0.628,0.838,0.741,0.718,0.696
MM,1,0.500,f1,12,0.775,1/1,549.000,325.000,106.000,874.000,0.628,0.838,0.741,0.718,0.696
MM,1,0.500,f1.25,12,0.775,1/1,549.000,325.000,106.000,874.000,0.628,0.838,0.741,0.718,0.696
MW,1,0.500,f0.8,12,0.75,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
MW,1,0.500,f1,12,0.75,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
MW,1,0.500,f1.25,12,0.75,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
current,1,0.500,f0.8,12,0.3,3/3,456.000,418.000,164.000,874.000,0.522,0.735,0.634,0.610,0.588
current,1,0.500,f1,12,0.3,3/3,456.000,418.000,164.000,874.000,0.522,0.735,0.634,0.610,0.588
current,1,0.500,f1.25,12,0.3,3/3,456.000,418.000,164.000,874.000,0.522,0.735,0.634,0.610,0.588
1D+1P,1,0.500,f0.8,60,0.6,1/1,398.000,476.000,221.000,874.000,0.455,0.643,0.554,0.533,0.514
1D+1P,1,0.500,f1,60,0.425,1/1,454.000,420.000,354.000,874.000,0.519,0.562,0.545,0.540,0.535
1D+1P,1,0.500,f1.25,60,0.375,1/1,473.000,401.000,414.000,874.000,0.541,0.533,0.536,0.537,0.538
BW,1,0.500,f0.8,60,0.525,1/1,394.000,480.000,169.000,874.000,0.451,0.700,0.576,0.548,0.523
BW,1,0.500,f1,60,0.425,1/1,433.000,441.000,254.000,874.000,0.495,0.630,0.570,0.555,0.541
BW,1,0.500,f1.25,60,0.325,1/1,472.000,402.000,384.000,874.000,0.540,0.551,0.547,0.546,0.544
MM,1,0.500,f0.8,60,0.7,1/1,371.000,503.000,159.000,874.000,0.424,0.700,0.559,0.528,0.502
MM,1,0.500,f1,60,0.65,1/1,391.000,483.000,201.000,874.000,0.447,0.660,0.557,0.533,0.512
