approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
1D+1P,1,0.500,,12,0.300,3/3,439.000,435.000,110.000,874.000,0.502,0.800,0.650
1D+1P,1,0.500,f0.8,12,0.900,1/1,576.000,298.000,210.000,874.000,0.659,0.733,0.702
1D+1P,1,0.500,,36,0.300,3/3,381.000,493.000,143.000,874.000,0.436,0.727,0.577
1D+1P,1,0.500,f0.8,36,0.775,1/1,440.000,434.000,120.000,874.000,0.503,0.786,0.645
1D+1P,1,0.500,,60,0.300,3/3,349.000,525.000,165.000,874.000,0.399,0.679,0.533
1D+1P,1,0.500,f0.8,60,0.600,1/1,386.000,488.000,180.000,874.000,0.442,0.682,0.563
1D+1P,1,0.500,,84,0.300,3/3,298.000,576.000,127.000,874.000,0.341,0.701,0.496
1D+1P,1,0.500,f0.8,84,0.175,2/4,407.000,467.000,335.000,874.000,0.466,0.549,0.513
1D+1P,1,0.500,,108,0.300,3/3,248.000,626.000,151.000,874.000,0.284,0.622,0.424
1D+1P,1,0.500,f0.8,108,0.325,2/4,291.000,583.000,175.000,874.000,0.333,0.624,0.465
1D+1P,1,0.500,,132,0.300,3/3,205.000,669.000,133.000,874.000,0.235,0.607,0.375
1D+1P,1,0.500,f0.8,132,0.400,1/1,268.000,606.000,230.000,874.000,0.307,0.538,0.416
1D+1P,1,0.500,,156,0.300,3/3,167.000,707.000,132.000,874.000,0.191,0.559,0.319
1D+1P,1,0.500,f0.8,156,0.425,1/1,218.000,656.000,146.000,874.000,0.249,0.599,0.387
1D+1P,1,0.500,,180,0.300,3/3,105.000,769.000,69.000,874.000,0.120,0.603,0.235
1D+1P,1,0.500,f0.8,180,0.225,1/1,215.000,659.000,292.000,874.000,0.246,0.424,0.331
1D+1P,1,0.500,,204,0.300,3/3,82.000,792.000,64.000,874.000,0.094,0.562,0.191
1D+1P,1,0.500,f0.8,204,0.175,1/1,189.000,685.000,361.000,874.000,0.216,0.344,0.279
1D+1P,1,0.500,,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
1D+1P,1,0.500,f0.8,228,0.175,1/1,162.000,712.000,379.000,874.000,0.185,0.299,0.241
1D+1P,1,0.500,f0.8,228,0.300,3/3,,,,,,,
BW,1,0.500,f0.8,12,0.925,1/1,534.000,340.000,92.000,874.000,0.611,0.853,0.739
BW,1,0.500,f0.8,36,0.600,1/1,449.000,425.000,122.000,874.000,0.514,0.786,0.651
BW,1,0.500,f0.8,60,0.425,1/1,418.000,456.000,201.000,874.000,0.478,0.675,0.582
BW,1,0.500,f0.8,84,0.200,2/4,419.000,455.000,335.000,874.000,0.479,0.556,0.523
BW,1,0.500,f0.8,108,0.375,1/1,316.000,558.000,188.000,874.000,0.362,0.627,0.487
BW,1,0.500,f0.8,132,0.400,1/1,256.000,618.000,166.000,874.000,0.293,0.607,0.428
BW,1,0.500,f0.8,156,0.500,1/1,210.000,664.000,119.000,874.000,0.240,0.638,0.388
BW,1,0.500,f0.8,180,0.200,2/2,229.000,645.000,312.000,874.000,0.262,0.423,0.341
BW,1,0.500,f0.8,204,0.225,1/1,223.000,651.000,404.000,874.000,0.255,0.356,0.308
BW,1,0.500,f0.8,228,0.200,2/4,160.000,714.000,219.000,874.000,0.183,0.422,0.280
MM,1,0.500,f0.8,12,0.775,1/1,540.000,334.000,91.000,874.000,0.618,0.856,0.744
MM,1,0.500,f0.8,36,0.700,1/1,441.000,433.000,113.000,874.000,0.505,0.796,0.650
