model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
COS,1,0.500,f0.8,12,0.875,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
COS,1,0.500,f1,12,0.875,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
COS,1,0.500,f1.25,12,0.875,1/1,588.000,286.000,231.000,874.000,0.673,0.718,0.700,0.695,0.690
COS,1,0.500,f0.8,60,0.725,1/1,338.000,536.000,154.000,874.000,0.387,0.687,0.527,0.495,0.466
COS,1,0.500,f1,60,0.525,1/1,388.000,486.000,268.000,874.000,0.444,0.591,0.524,0.507,0.492
COS,1,0.500,f1.25,60,0.425,1/1,431.000,443.000,450.000,874.000,0.493,0.489,0.491,0.491,0.492
DWD,1,0.500,f0.8,12,0.05,2/2,511.000,363.000,366.000,874.000,0.585,0.583,0.583,0.584,0.584
DWD,1,0.500,f1,12,0.05,1/1,622.000,252.000,625.000,874.000,0.712,0.499,0.565,0.587,0.610
DWD,1,0.500,f1.25,12,0.05,1/1,622.000,252.000,625.000,874.000,0.712,0.499,0.565,0.587,0.610
DWD,1,0.500,f0.8,60,0.05,3/3,367.000,507.000,336.000,874.000,0.420,0.522,0.477,0.465,0.455
DWD,1,0.500,f1,60,0.05,3/4,387.000,487.000,397.000,874.000,0.443,0.494,0.472,0.467,0.461
DWD,1,0.500,f1.25,60,0.05,2/2,446.000,428.000,626.000,874.000,0.510,0.416,0.448,0.458,0.469
DWD,1,0.500,f0.8,144,0.05,2/2,254.000,620.000,456.000,874.000,0.291,0.358,0.328,0.321,0.314
DWD,1,0.500,f1,144,0.05,2/2,254.000,620.000,456.000,874.000,0.291,0.358,0.328,0.321,0.314
DWD,1,0.500,f1.25,144,0.05,2/4,262.000,612.000,527.000,874.000,0.300,0.332,0.319,0.315,0.312
EUD,1,0.500,f0.8,12,0.05,2/2,507.000,367.000,249.000,874.000,0.580,0.671,0.632,0.622,0.612
EUD,1,0.500,f1,12,0.05,1/1,613.000,261.000,454.000,874.000,0.701,0.575,0.618,0.632,0.646
EUD,1,0.500,f1.25,12,0.05,1/1,613.000,261.000,454.000,874.000,0.701,0.575,0.618,0.632,0.646
EUD,1,0.500,f0.8,60,0.05,3/3,364.000,510.000,231.000,874.000,0.416,0.612,0.517,0.496,0.476
EUD,1,0.500,f1,60,0.05,3/3,364.000,510.000,231.000,874.000,0.416,0.612,0.517,0.496,0.476
EUD,1,0.500,f1.25,60,0.05,3/3,364.000,510.000,231.000,874.000,0.416,0.612,0.517,0.496,0.476
EUD,1,0.500,f0.8,144,0.05,2/2,239.000,635.000,318.000,874.000,0.273,0.429,0.351,0.334,0.319
EUD,1,0.500,f1,144,0.05,2/2,239.000,635.000,318.000,874.000,0.273,0.429,0.351,0.334,0.319
EUD,1,0.500,f1.25,144,0.05,2/2,239.000,635.000,318.000,874.000,0.273,0.429,0.351,0.334,0.319
EUD,1,0.500,f0.8,180,0.05,2/2,213.000,661.000,421.000,874.000,0.244,0.336,0.293,0.282,0.273
EUD,1,0.500,f1,180,0.05,2/3,223.000,651.000,487.000,874.000,0.255,0.314,0.288,0.282,0.275
EUD,1,0.500,f1.25,180,0.05,2/3,223.000,651.000,487.000,874.000,0.255,0.314,0.288,0.282,0.275
EUE,1,0.500,f0.8,12,0.8,1/1,595.000,279.000,242.000,874.000,0.681,0.711,0.699,0.695,0.692
EUE,1,0.500,f1,12,0.8,1/1,595.000,279.000,242.000,874.000,0.681,0.711,0.699,0.695,0.692
EUE,1,0.500,f1.25,12,0.8,1/1,595.000,279.000,242.000,874.000,0.681,0.711,0.699,0.695,0.692
EUE,1,0.500,f0.8,60,0.65,1/1,364.000,510.000,138.000,874.000,0.416,0.725,0.562,0.529,0.499
EUE,1,0.500,f1,60,0.4,1/1,428.000,446.000,281.000,874.000,0.490,0.604,0.553,0.541,0.529
EUE,1,0.500,f1.25,60,0.25,1/1,491.000,383.000,514.000,874.000,0.562,0.489,0.515,0.523,0.531
EUE,1,0.500,f0.8,144,0.45,1/1,231.000,643.000,151.000,874.000,0.264,0.605,0.402,0.368,0.339
EUE,1,0.500,f1,144,0.45,1/1,231.000,643.000,151.000,874.000,0.264,0.605,0.402,0.368,0.339
EUE,1,0.500,f1.25,144,0.15,1/1,336.000,538.000,743.000,874.000,0.384,0.311,0.336,0.344,0.352
EUE,1,0.500,f0.8,180,0.175,2/2,251.000,623.000,383.000,874.000,0.287,0.396,0.345,0.333,0.322
EUE,1,0.500,f1,180,0.175,2/2,251.000,623.000,383.000,874.000,0.287,0.396,0.345,0.333,0.322
EUE,1,0.500,f1.25,180,0.175,2/2,251.000,623.000,383.000,874.000,0.287,0.396,0.345,0.333,0.322
