model,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8
COS,1,0.500,f0.8,12,0.775,1/1,583,291,219,874,0.667,0.727,0.702
COS,1,0.500,f0.8,36,0.625,1/1,455,419,153,874,0.521,0.748,0.639
COS,1,0.500,f0.8,60,0.725,1/1,329,545,119,874,0.376,0.734,0.536
COS,1,0.500,f0.8,84,0.475,1/1,330,544,203,874,0.378,0.619,0.495
COS,1,0.500,f0.8,108,0.475,1/1,258,616,203,874,0.295,0.560,0.415
COS,1,0.500,f0.8,132,0.375,1/1,233,641,323,874,0.267,0.419,0.343
DWD,1,0.500,f0.8,12,0.050,1/1,601,273,363,874,0.688,0.623,0.647
DWD,1,0.500,f0.8,36,0.050,3/3,362,512,226,874,0.414,0.616,0.517
DWD,1,0.500,f0.8,60,0.050,2/2,395,479,345,874,0.452,0.534,0.499
DWD,1,0.500,f0.8,84,0.050,2/2,366,508,383,874,0.419,0.489,0.459
DWD,1,0.500,f0.8,108,0.050,2/2,329,545,417,874,0.376,0.441,0.413
DWD,1,0.500,f0.8,132,0.050,2/2,282,592,460,874,0.323,0.380,0.355
DWD,1,0.500,f0.8,156,0.050,2/2,225,649,388,874,0.257,0.367,0.315
EUD,1,0.500,f0.8,12,0.050,1/1,596,278,285,874,0.682,0.677,0.679
EUD,1,0.500,f0.8,36,0.050,2/2,402,472,180,874,0.460,0.691,0.578
EUD,1,0.500,f0.8,60,0.050,2/2,369,505,228,874,0.422,0.618,0.523
EUD,1,0.500,f0.8,84,0.050,3/3,299,575,154,874,0.342,0.660,0.484
EUD,1,0.500,f0.8,108,0.050,2/2,311,563,282,874,0.356,0.524,0.443
EUD,1,0.500,f0.8,132,0.050,2/2,258,616,316,874,0.295,0.449,0.373
EUD,1,0.500,f0.8,156,0.050,3/3,184,690,173,874,0.211,0.515,0.329
EUD,1,0.500,f0.8,180,0.050,2/2,198,676,320,874,0.227,0.382,0.301
EUD,1,0.500,f0.8,204,0.050,2/2,149,725,305,874,0.170,0.328,0.241
EUD,1,0.500,f0.8,228,0.050,2/2,123,751,269,874,0.141,0.314,0.212
EUE,1,0.500,f0.8,12,0.800,1/1,582,292,213,874,0.666,0.732,0.705
EUE,1,0.500,f0.8,36,0.875,1/1,434,440,83,874,0.497,0.839,0.661
EUE,1,0.500,f0.8,60,0.450,1/1,399,475,186,874,0.457,0.682,0.572
EUE,1,0.500,f0.8,84,0.425,1/1,345,529,195,874,0.395,0.639,0.515
EUE,1,0.500,f0.8,108,0.275,1/1,354,520,283,874,0.405,0.556,0.485
EUE,1,0.500,f0.8,132,0.400,1/1,253,621,151,874,0.289,0.626,0.431
EUE,1,0.500,f0.8,156,0.550,1/1,197,677,100,874,0.225,0.663,0.377
EUE,1,0.500,f0.8,180,0.200,2/2,224,650,283,874,0.256,0.442,0.344
EUE,1,0.500,f0.8,204,0.200,1/1,225,649,429,874,0.257,0.344,0.304
EUE,1,0.500,f0.8,228,0.175,2/2,175,699,293,874,0.200,0.374,0.279
