id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
27,Leun (Neu),4207500,3047500,3575,Lahn,Lahn,Rhine,DE,-999.000,5211,179.900,204.200,264.100,303.800,341.800,391.100,428.000,464.800,513.300,0,0.000,0.000,0.000,-999.000,-999.000,-999.000
28,Maxau,4192500,2877500,50425,Rhine,Rhine,Rhine,DE,-999.000,11111,2845.700,3083.900,3669.800,4057.800,4429.900,4911.600,5272.600,5632.200,6106.700,1,1.000,0.000,0.000,1.000,1.000,1.000
29,Raunheim,4207500,2987500,27100,Main,Main,Rhine,DE,-999.000,8111,676.600,797.400,1094.800,1291.800,1480.600,1725.100,1908.300,2090.900,2331.700,0,0.000,0.000,0.000,-999.000,-999.000,-999.000
30,Plittersdorf,4182500,2862500,48500,Rhine,Rhine,Rhine,DE,-999.000,11111,2797.100,3035.900,3623.500,4012.600,4385.800,4868.800,5230.800,5591.500,6067.300,1,1.000,0.000,0.000,1.000,1.000,1.000
31,Frankfurt-Osthafen,4222500,2997500,24775,Main,Main,Rhine,DE,-999.000,8311,638.700,753.000,1034.500,1220.900,1399.600,1631.000,1804.400,1977.200,2205.100,0,0.000,0.000,0.000,-999.000,-999.000,-999.000
32,Perl,4057500,2942500,11525,Moselle,Moselle,Rhine,DE,-999.000,4511,775.100,889.000,1169.500,1355.200,1533.400,1764.000,1936.700,2108.900,2336.000,0,0.000,0.000,1.000,-999.000,0.000,0.000
33,Plochingen,4277500,2842500,3975,Neckar,Neckar,Rhine,DE,-999.000,10311,293.400,337.100,444.900,516.200,584.700,673.300,739.600,805.800,893.000,1,0.000,1.000,0.000,0.000,-999.000,0.000
34,Schweinfurt Neuer Hafen,4332500,2982500,12825,Main,Main,Rhine,DE,-999.000,8711,421.400,487.800,651.100,759.200,863.000,997.200,1097.900,1198.100,1330.400,1,0.000,1.000,0.000,0.000,-999.000,0.000
35,Kleinheubach,4262500,2957500,21550,Main,Main,Rhine,DE,-999.000,8511,588.200,693.200,951.400,1122.400,1286.400,1498.700,1657.800,1816.300,2025.400,0,0.000,0.000,1.000,-999.000,0.000,0.000
36,Kaub,4162500,2992500,103525,Rhine,Rhine,Rhine,DE,-999.000,5311,3910.200,4227.400,5007.900,5524.700,6020.400,6662.100,7142.900,7622.000,8254.000,1,1.000,0.000,0.000,1.000,1.000,1.000
