id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
27,Leun (Neu),4207500.0,3047500.0,3575.0,Lahn,Lahn,Rhine,DE,,5211,179.9,204.2,264.1,303.8,341.8,391.1,428.0,464.8,513.3,0,0,0,0,,,
28,Maxau,4192500.0,2877500.0,50425.0,Rhine,Rhine,Rhine,DE,,11111,2845.7,3083.9,3669.8,4057.8,4429.9,4911.6,5272.6,5632.2,6106.7,1,1,0,0,1.0,1.0,1.0
29,Raunheim,4207500.0,2987500.0,27100.0,Main,Main,Rhine,DE,,8111,676.6,797.4,1094.8,1291.8,1480.6,1725.1,1908.3,2090.9,2331.7,0,0,0,0,,,
30,Plittersdorf,4182500.0,2862500.0,48500.0,Rhine,Rhine,Rhine,DE,,11111,2797.1,3035.9,3623.5,4012.6,4385.8,4868.8,5230.8,5591.5,6067.3,1,1,0,0,1.0,1.0,1.0
31,Frankfurt-Osthafen,4222500.0,2997500.0,24775.0,Main,Main,Rhine,DE,,8311,638.7,753.0,1034.5,1220.9,1399.6,1631.0,1804.4,1977.2,2205.1,0,0,0,0,,,
32,Perl,4057500.0,2942500.0,11525.0,Moselle,Moselle,Rhine,DE,,4511,775.1,889.0,1169.5,1355.2,1533.4,1764.0,1936.7,2108.9,2336.0,0,0,0,1,,0.0,0.0
33,Plochingen,4277500.0,2842500.0,3975.0,Neckar,Neckar,Rhine,DE,,10311,293.4,337.1,444.9,516.2,584.7,673.3,739.6,805.8,893.0,1,0,1,0,0.0,,0.0
34,Schweinfurt Neuer Hafen,4332500.0,2982500.0,12825.0,Main,Main,Rhine,DE,,8711,421.4,487.8,651.1,759.2,863.0,997.2,1097.9,1198.1,1330.4,1,0,1,0,0.0,,0.0
35,Kleinheubach,4262500.0,2957500.0,21550.0,Main,Main,Rhine,DE,,8511,588.2,693.2,951.4,1122.4,1286.4,1498.7,1657.8,1816.3,2025.4,0,0,0,1,,0.0,0.0
36,Kaub,4162500.0,2992500.0,103525.0,Rhine,Rhine,Rhine,DE,,5311,3910.2,4227.4,5007.9,5524.7,6020.4,6662.1,7142.9,7622.0,8254.0,1,1,0,0,1.0,1.0,1.0
38,Cochem,4122500.0,3007500.0,27025.0,Moselle,Moselle,Rhine,DE,,4111,1562.1,1829.2,2486.6,2921.9,3339.4,3879.8,4284.8,4688.3,5220.6,1,1,0,0,1.0,1.0,1.0
