approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,258,420,157,678,0.381,0.622,0.498,0.472,0.452
1D+1P,f0.8,0.425,1/1,334,344,254,678,0.493,0.568,0.536,0.528,0.521
1D+1P,f1,0.375,1/1,344,334,296,678,0.507,0.537,0.525,0.522,0.519
1D+1P,f1.2,0.375,1/1,344,334,296,678,0.507,0.537,0.525,0.522,0.519
BW,f0.8,0.525,1/1,310,368,242,678,0.457,0.562,0.516,0.504,0.495
BW,f1,0.375,1/1,372,306,453,678,0.549,0.451,0.485,0.495,0.504
BW,f1.2,0.350,1/1,383,295,520,678,0.565,0.424,0.470,0.485,0.497
MM,f0.8,0.625,2/4,236,442,124,678,0.348,0.656,0.488,0.455,0.431
MM,f1,0.125,3/4,367,311,501,678,0.541,0.423,0.462,0.475,0.486
MM,f1.2,0.100,3/4,375,303,541,678,0.553,0.409,0.456,0.471,0.484
MW,f0.8,0.400,1/1,301,377,196,678,0.444,0.606,0.530,0.512,0.498
MW,f1,0.375,1/1,308,370,238,678,0.454,0.564,0.515,0.503,0.494
MW,f1.2,0.175,2/4,372,306,431,678,0.549,0.463,0.493,0.502,0.510
