approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
1D+1P,1,0.500,,12,0.300,3/3,334,344,128,678,0.493,0.723,0.611,0.586,0.563
1D+1P,1,0.500,f0.8,12,0.925,1/1,437,241,179,678,0.645,0.709,0.683,0.675,0.668
1D+1P,1,0.500,f1,12,0.925,1/1,437,241,179,678,0.645,0.709,0.683,0.675,0.668
1D+1P,1,0.500,f1.25,12,0.800,1/1,442,236,193,678,0.652,0.696,0.678,0.673,0.668
1D+1P,1,0.500,,60,0.300,3/3,258,420,182,678,0.381,0.586,0.484,0.462,0.441
1D+1P,1,0.500,f0.8,60,0.500,1/1,304,374,229,678,0.448,0.570,0.516,0.502,0.489
1D+1P,1,0.500,f1,60,0.400,1/1,339,339,318,678,0.500,0.516,0.510,0.508,0.506
1D+1P,1,0.500,f1.25,60,0.350,1/1,355,323,370,678,0.524,0.490,0.502,0.506,0.510
1D+1P,1,0.500,,144,0.300,3/3,107,571,103,678,0.158,0.510,0.273,0.241,0.216
1D+1P,1,0.500,f0.8,144,0.450,1/1,133,545,115,678,0.196,0.536,0.320,0.287,0.261
1D+1P,1,0.500,f1,144,0.050,1/1,270,408,784,678,0.398,0.256,0.298,0.312,0.327
1D+1P,1,0.500,f1.25,144,0.050,1/1,270,408,784,678,0.398,0.256,0.298,0.312,0.327
1D+1P,1,0.500,,180,0.300,3/3,59,619,49,678,0.087,0.546,0.179,0.150,0.130
1D+1P,1,0.500,f0.8,180,0.250,1/1,142,536,245,678,0.209,0.367,0.284,0.267,0.252
1D+1P,1,0.500,f1,180,0.250,1/1,142,536,245,678,0.209,0.367,0.284,0.267,0.252
1D+1P,1,0.500,f1.25,180,0.125,1/1,171,507,431,678,0.252,0.284,0.271,0.267,0.264
BW,1,0.500,f0.8,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f1,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f1.25,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f0.8,60,0.575,1/1,279,399,172,678,0.412,0.619,0.517,0.494,0.473
BW,1,0.500,f1,60,0.575,1/1,279,399,172,678,0.412,0.619,0.517,0.494,0.473
BW,1,0.500,f1.25,60,0.350,1/1,360,318,440,678,0.531,0.450,0.478,0.487,0.496
BW,1,0.500,f0.8,144,0.675,1/1,124,554,89,678,0.183,0.582,0.314,0.278,0.250
BW,1,0.500,f1,144,0.050,2/2,281,397,820,678,0.414,0.255,0.300,0.316,0.333
BW,1,0.500,f1.25,144,0.050,2/2,281,397,820,678,0.414,0.255,0.300,0.316,0.333
BW,1,0.500,f0.8,180,0.425,1/1,145,533,225,678,0.214,0.392,0.296,0.277,0.260
BW,1,0.500,f1,180,0.425,1/1,145,533,225,678,0.214,0.392,0.296,0.277,0.260
BW,1,0.500,f1.25,180,0.125,2/3,175,503,453,678,0.258,0.279,0.270,0.268,0.266
MM,1,0.500,f0.8,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f1,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f1.25,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f0.8,60,0.650,1/1,269,409,164,678,0.397,0.621,0.509,0.484,0.462
MM,1,0.500,f1,60,0.400,1/1,345,333,386,678,0.509,0.472,0.486,0.490,0.494
MM,1,0.500,f1.25,60,0.350,1/1,373,305,484,678,0.550,0.435,0.474,0.486,0.499
MM,1,0.500,f0.8,144,0.050,2/2,231,447,622,678,0.341,0.271,0.294,0.302,0.310
MM,1,0.500,f1,144,0.050,2/2,231,447,622,678,0.341,0.271,0.294,0.302,0.310
MM,1,0.500,f1.25,144,0.050,2/2,231,447,622,678,0.341,0.271,0.294,0.302,0.310
MM,1,0.500,f0.8,180,0.050,3/3,147,531,349,678,0.217,0.296,0.259,0.250,0.242
MM,1,0.500,f1,180,0.100,2/3,150,528,410,678,0.221,0.268,0.248,0.242,0.237
MM,1,0.500,f1.25,180,0.100,2/3,150,528,410,678,0.221,0.268,0.248,0.242,0.237
MW,1,0.500,f0.8,12,0.675,1/1,448,230,191,678,0.661,0.701,0.685,0.680,0.676
MW,1,0.500,f1,12,0.650,1/1,449,229,193,678,0.662,0.699,0.684,0.680,0.676
MW,1,0.500,f1.25,12,0.325,1/1,479,199,272,678,0.706,0.638,0.663,0.670,0.678
MW,1,0.500,f0.8,60,0.400,1/1,299,379,193,678,0.441,0.608,0.530,0.511,0.494
MW,1,0.500,f1,60,0.250,1/1,356,322,356,678,0.525,0.500,0.509,0.512,0.515
MW,1,0.500,f1.25,60,0.225,1/1,372,306,409,678,0.549,0.476,0.502,0.510,0.518
MW,1,0.500,f0.8,144,0.175,1/1,210,468,393,678,0.310,0.348,0.332,0.328,0.324
MW,1,0.500,f1,144,0.175,1/1,210,468,393,678,0.310,0.348,0.332,0.328,0.324
MW,1,0.500,f1.25,144,0.125,1/1,257,421,694,678,0.379,0.270,0.304,0.316,0.328
MW,1,0.500,f0.8,180,0.275,1/1,148,530,245,678,0.218,0.377,0.294,0.276,0.261
MW,1,0.500,f1,180,0.175,2/4,152,526,253,678,0.224,0.375,0.297,0.281,0.266
MW,1,0.500,f1.25,180,0.225,1/1,161,517,346,678,0.237,0.318,0.281,0.272,0.263
