approach,window,KGE,OF,leadtime,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.25
1D+1P,1,0.500,,12,0.300,3/3,334,344,128,678,0.493,0.723,0.611,0.586,0.563
1D+1P,1,0.500,f0.8,12,0.925,1/1,437,241,179,678,0.645,0.709,0.683,0.675,0.668
1D+1P,1,0.500,f1,12,0.925,1/1,437,241,179,678,0.645,0.709,0.683,0.675,0.668
1D+1P,1,0.500,f1.25,12,0.800,1/1,442,236,193,678,0.652,0.696,0.678,0.673,0.668
1D+1P,1,0.500,,60,0.300,3/3,259,419,193,678,0.382,0.573,0.479,0.458,0.439
1D+1P,1,0.500,f0.8,60,0.500,1/1,304,374,237,678,0.448,0.562,0.511,0.499,0.487
1D+1P,1,0.500,f1,60,0.400,1/1,340,338,333,678,0.501,0.505,0.504,0.503,0.503
1D+1P,1,0.500,f1.25,60,0.400,1/1,340,338,333,678,0.501,0.505,0.504,0.503,0.503
1D+1P,1,0.500,,180,0.300,3/3,59,619,49,678,0.087,0.546,0.179,0.150,0.130
1D+1P,1,0.500,f0.8,180,0.250,1/1,142,536,245,678,0.209,0.367,0.284,0.267,0.252
1D+1P,1,0.500,f1,180,0.250,1/1,142,536,245,678,0.209,0.367,0.284,0.267,0.252
1D+1P,1,0.500,f1.25,180,0.125,1/1,171,507,431,678,0.252,0.284,0.271,0.267,0.264
BW,1,0.500,f0.8,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f1,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f1.25,12,0.800,1/1,408,270,84,678,0.602,0.829,0.723,0.697,0.674
BW,1,0.500,f0.8,60,0.650,1/1,254,424,157,678,0.375,0.618,0.493,0.466,0.443
BW,1,0.500,f1,60,0.225,3/3,312,366,318,678,0.460,0.495,0.481,0.477,0.473
BW,1,0.500,f1.25,60,0.225,3/3,312,366,318,678,0.460,0.495,0.481,0.477,0.473
BW,1,0.500,f0.8,180,0.425,1/1,145,533,225,678,0.214,0.392,0.296,0.277,0.260
BW,1,0.500,f1,180,0.425,1/1,145,533,225,678,0.214,0.392,0.296,0.277,0.260
BW,1,0.500,f1.25,180,0.125,2/3,175,503,453,678,0.258,0.279,0.270,0.268,0.266
MM,1,0.500,f0.8,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f1,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f1.25,12,0.775,1/1,409,269,85,678,0.603,0.828,0.723,0.698,0.675
MM,1,0.500,f0.8,60,0.475,2/2,249,429,189,678,0.367,0.568,0.468,0.446,0.426
MM,1,0.500,f1,60,0.175,3/3,339,339,452,678,0.500,0.429,0.454,0.462,0.469
MM,1,0.500,f1.25,60,0.100,3/3,363,315,536,678,0.535,0.404,0.447,0.460,0.475
MM,1,0.500,f0.8,180,0.050,3/3,147,531,349,678,0.217,0.296,0.259,0.250,0.242
MM,1,0.500,f1,180,0.100,2/3,150,528,410,678,0.221,0.268,0.248,0.242,0.237
MM,1,0.500,f1.25,180,0.100,2/3,150,528,410,678,0.221,0.268,0.248,0.242,0.237
MW,1,0.500,f0.8,12,0.675,1/1,448,230,191,678,0.661,0.701,0.685,0.680,0.676
MW,1,0.500,f1,12,0.650,1/1,449,229,193,678,0.662,0.699,0.684,0.680,0.676
MW,1,0.500,f1.25,12,0.325,1/1,479,199,272,678,0.706,0.638,0.663,0.670,0.678
MW,1,0.500,f0.8,60,0.575,1/1,256,422,130,678,0.378,0.663,0.512,0.481,0.454
MW,1,0.500,f1,60,0.400,1/1,297,381,236,678,0.438,0.557,0.504,0.491,0.478
MW,1,0.500,f1.25,60,0.225,1/1,375,303,510,678,0.553,0.424,0.466,0.480,0.494
MW,1,0.500,f0.8,180,0.275,1/1,148,530,245,678,0.218,0.377,0.294,0.276,0.261
MW,1,0.500,f1,180,0.175,2/4,152,526,253,678,0.224,0.375,0.297,0.281,0.266
MW,1,0.500,f1.25,180,0.225,1/1,161,517,346,678,0.237,0.318,0.281,0.272,0.263
