approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,280,468,182,748,0.374,0.606,0.414,0.463,0.512
1D+1P,f0.8,0.425,1/1,353,395,291,748,0.472,0.548,0.458,0.507,0.557
1D+1P,f1,0.400,1/1,368,380,332,748,0.492,0.526,0.459,0.508,0.558
1D+1P,f1.2,0.375,1/1,368,380,347,748,0.492,0.515,0.454,0.503,0.553
BW,f0.8,0.525,1/1,330,418,277,748,0.441,0.544,0.438,0.487,0.537
BW,f1,0.400,1/1,384,364,472,748,0.513,0.449,0.430,0.479,0.528
BW,f1.2,0.350,1/1,415,333,602,748,0.555,0.408,0.421,0.470,0.520
MM,f0.8,0.350,3/4,305,443,272,748,0.408,0.529,0.412,0.460,0.510
MM,f1,0.100,3/3,397,351,529,748,0.531,0.429,0.425,0.474,0.524
MM,f1.2,0.100,3/3,397,351,529,748,0.531,0.429,0.425,0.474,0.524
MW,f0.8,0.400,1/1,320,428,222,748,0.428,0.590,0.447,0.496,0.546
MW,f1,0.325,1/1,347,401,351,748,0.464,0.497,0.431,0.480,0.530
MW,f1.2,0.200,1/1,440,308,678,748,0.588,0.394,0.423,0.472,0.521
