approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,280,468,211,748,0.374,0.570,0.474,0.452,0.436
1D+1P,f0.8,0.625,1/1,294,454,197,748,0.393,0.599,0.497,0.475,0.457
1D+1P,f1,0.400,1/1,366,382,387,748,0.489,0.486,0.487,0.488,0.488
1D+1P,f1.2,0.400,1/1,366,382,387,748,0.489,0.486,0.487,0.488,0.488
BW,f0.8,0.650,1/1,276,472,168,748,0.369,0.622,0.491,0.463,0.443
BW,f1,0.650,1/1,276,472,168,748,0.369,0.622,0.491,0.463,0.443
BW,f1.2,0.425,1/1,366,382,503,748,0.489,0.421,0.445,0.453,0.459
MM,f0.8,0.400,3/3,266,482,219,748,0.356,0.548,0.453,0.431,0.415
MM,f1,0.150,3/3,374,374,531,748,0.500,0.413,0.443,0.453,0.460
MM,f1.2,0.150,3/3,374,374,531,748,0.500,0.413,0.443,0.453,0.460
MW,f0.8,0.500,1/1,291,457,183,748,0.389,0.614,0.501,0.476,0.458
MW,f1,0.475,1/1,297,451,202,748,0.397,0.595,0.498,0.476,0.460
MW,f1.2,0.400,1/1,318,430,259,748,0.425,0.551,0.494,0.480,0.469
