approach,OF,probability,persistence,TP,FN,FP,no_events,recall,precision,f0.8,f1,f1.2
1D+1P,,0.300,3/3,258,420,157,678,0.381,0.622,0.498,0.472,0.452
1D+1P,f0.8,0.450,1/1,330,348,236,678,0.487,0.583,0.541,0.531,0.522
1D+1P,f1,0.450,1/1,330,348,236,678,0.487,0.583,0.541,0.531,0.522
1D+1P,f1.2,0.400,1/1,345,333,285,678,0.509,0.548,0.532,0.528,0.524
BW,f0.8,0.650,1/1,257,421,124,678,0.379,0.675,0.517,0.485,0.462
BW,f1,0.525,1/1,310,368,242,678,0.457,0.562,0.516,0.504,0.495
BW,f1.2,0.375,1/1,372,306,453,678,0.549,0.451,0.485,0.495,0.504
MM,f0.8,0.375,3/3,259,419,167,678,0.382,0.608,0.494,0.469,0.451
MM,f1,0.175,3/3,344,334,383,678,0.507,0.473,0.486,0.490,0.493
MM,f1.2,0.100,3/3,367,311,472,678,0.541,0.437,0.473,0.484,0.493
MW,f0.8,0.400,1/1,301,377,196,678,0.444,0.606,0.530,0.512,0.498
MW,f1,0.400,1/1,301,377,196,678,0.444,0.606,0.530,0.512,0.498
MW,f1.2,0.175,2/4,372,306,431,678,0.549,0.463,0.493,0.502,0.510
